n1, n2, n3, W
1.000e+02,1.000e+02,1.000e+02,2.000e-01
1.000e+02,1.000e+02,1.000e+02,2.500e-01
1.000e+02,1.000e+02,1.000e+02,3.000e-01
1.000e+02,1.000e+02,1.000e+02,3.500e-01
1.000e+02,1.000e+02,1.000e+02,4.000e-01
1.000e+02,1.000e+02,0.000e+00,4.500e-01
1.000e+02,1.000e+02,1.000e+02,5.000e-01
1.000e+02,1.000e+02,1.000e+02,5.500e-01
1.000e+02,1.000e+02,1.000e+02,6.000e-01
1.000e+02,1.000e+02,0.000e+00,6.500e-01
1.000e+02,1.000e+02,0.000e+00,7.000e-01
1.000e+02,1.000e+02,1.000e+02,7.500e-01
1.000e+02,1.000e+02,1.000e+02,8.000e-01
1.000e+02,1.000e+02,1.000e+02,8.500e-01
1.000e+02,1.000e+02,1.000e+02,9.000e-01
1.000e+02,1.000e+02,1.000e+02,9.500e-01
1.000e+02,1.000e+02,1.000e+02,1.000e+00
1.000e+02,1.000e+02,1.000e+02,1.050e+00
1.000e+02,1.000e+02,9.700e+01,1.100e+00
1.000e+02,1.000e+02,0.000e+00,1.150e+00
1.000e+02,1.000e+02,0.000e+00,1.200e+00
1.000e+02,0.000e+00,0.000e+00,1.250e+00
1.000e+02,0.000e+00,0.000e+00,1.300e+00
9.500e+01,0.000e+00,0.000e+00,1.350e+00
0.000e+00,0.000e+00,0.000e+00,1.400e+00
1.000e+02,0.000e+00,0.000e+00,1.450e+00
1.000e+02,0.000e+00,0.000e+00,1.500e+00
1.000e+02,9.900e+01,0.000e+00,1.550e+00
1.000e+02,1.000e+02,0.000e+00,1.600e+00
1.000e+02,1.000e+02,9.400e+01,1.650e+00
1.000e+02,1.000e+02,1.000e+02,1.700e+00
1.000e+02,1.000e+02,1.000e+02,1.750e+00
1.000e+02,1.000e+02,1.000e+02,1.800e+00
1.000e+02,1.000e+02,1.000e+02,1.850e+00
1.000e+02,1.000e+02,1.000e+02,1.900e+00
1.000e+02,1.000e+02,1.000e+02,1.950e+00
1.000e+02,1.000e+02,1.000e+02,2.000e+00
1.000e+02,1.000e+02,1.000e+02,2.050e+00
1.000e+02,1.000e+02,9.400e+01,2.100e+00
1.000e+02,6.800e+01,0.000e+00,2.150e+00
1.200e+01,0.000e+00,0.000e+00,2.200e+00
1.000e+02,9.900e+01,0.000e+00,2.250e+00
1.000e+02,1.000e+02,1.000e+02,2.300e+00
1.000e+02,1.000e+02,1.000e+02,2.350e+00
1.000e+02,1.000e+02,1.000e+02,2.400e+00
1.000e+02,1.000e+02,1.000e+02,2.450e+00
1.000e+02,1.000e+02,1.000e+02,2.500e+00
1.000e+02,1.000e+02,1.000e+02,2.550e+00
