x[μm], y[μm], z[μm], t[μm]
   2.000000e+01,   0.000000e+00,   2.000000e+01,   0.000000e+00
   2.000000e+01,   1.562500e-01,   2.000000e+01,   6.250000e-03
   2.000254e+01,   3.125000e-01,   1.999962e+01,   1.250000e-02
   2.000762e+01,   4.687133e-01,   1.999887e+01,   1.875000e-02
   2.001524e+01,   6.248530e-01,   1.999775e+01,   2.500000e-02
   2.002539e+01,   7.808826e-01,   1.999624e+01,   3.125000e-02
   2.003808e+01,   9.367651e-01,   1.999436e+01,   3.750000e-02
   2.005331e+01,   1.092464e+00,   1.999211e+01,   4.375000e-02
   2.007106e+01,   1.247943e+00,   1.998948e+01,   5.000000e-02
   2.009135e+01,   1.403164e+00,   1.998647e+01,   5.625000e-02
   2.011416e+01,   1.558093e+00,   1.998309e+01,   6.250000e-02
   2.013949e+01,   1.712691e+00,   1.997933e+01,   6.875000e-02
   2.016733e+01,   1.866922e+00,   1.997520e+01,   7.500000e-02
   2.019769e+01,   2.020751e+00,   1.997069e+01,   8.125000e-02
   2.023055e+01,   2.174140e+00,   1.996581e+01,   8.750000e-02
   2.026590e+01,   2.327054e+00,   1.996055e+01,   9.375000e-02
   2.030375e+01,   2.479456e+00,   1.995491e+01,   1.000000e-01
   2.034409e+01,   2.631310e+00,   1.994890e+01,   1.062500e-01
   2.038689e+01,   2.782581e+00,   1.994252e+01,   1.125000e-01
   2.043217e+01,   2.933233e+00,   1.993576e+01,   1.187500e-01
   2.047991e+01,   3.083229e+00,   1.992863e+01,   1.250000e-01
   2.053009e+01,   3.232534e+00,   1.992112e+01,   1.312500e-01
   2.058271e+01,   3.381113e+00,   1.991324e+01,   1.375000e-01
   2.063777e+01,   3.528930e+00,   1.990498e+01,   1.437500e-01
   2.069524e+01,   3.675951e+00,   1.989635e+01,   1.500000e-01
   2.075511e+01,   3.822140e+00,   1.988734e+01,   1.562500e-01
   2.081738e+01,   3.967463e+00,   1.987796e+01,   1.625000e-01
   2.088204e+01,   4.111884e+00,   1.986821e+01,   1.687500e-01
   2.094906e+01,   4.255370e+00,   1.985808e+01,   1.750000e-01
   2.101844e+01,   4.397886e+00,   1.984758e+01,   1.812500e-01
   2.109015e+01,   4.539397e+00,   1.983671e+01,   1.875000e-01
   2.116420e+01,   4.679871e+00,   1.982546e+01,   1.937500e-01
   2.124056e+01,   4.819273e+00,   1.981384e+01,   2.000000e-01
   2.131921e+01,   4.957570e+00,   1.980185e+01,   2.062500e-01
   2.140015e+01,   5.094728e+00,   1.978949e+01,   2.125000e-01
   2.148335e+01,   5.230716e+00,   1.977675e+01,   2.187500e-01
   2.156880e+01,   5.365499e+00,   1.976364e+01,   2.250000e-01
   2.165647e+01,   5.499045e+00,   1.975016e+01,   2.312500e-01
   2.174636e+01,   5.631322e+00,   1.973631e+01,   2.375000e-01
   2.183845e+01,   5.762298e+00,   1.972209e+01,   2.437500e-01
   2.193271e+01,   5.891941e+00,   1.970750e+01,   2.500000e-01
   2.202912e+01,   6.020220e+00,   1.969253e+01,   2.562500e-01
   2.212768e+01,   6.147104e+00,   1.967720e+01,   2.625000e-01
   2.222834e+01,   6.272561e+00,   1.966150e+01,   2.687500e-01
   2.233111e+01,   6.396560e+00,   1.964542e+01,   2.750000e-01
   2.243595e+01,   6.519072e+00,   1.962898e+01,   2.812500e-01
   2.254284e+01,   6.640067e+00,   1.961217e+01,   2.875000e-01
   2.265176e+01,   6.759514e+00,   1.959499e+01,   2.937500e-01
   2.276270e+01,   6.877384e+00,   1.957744e+01,   3.000000e-01
   2.287562e+01,   6.993649e+00,   1.955952e+01,   3.062500e-01
   2.299050e+01,   7.108279e+00,   1.954123e+01,   3.125000e-01
   2.310733e+01,   7.221245e+00,   1.952258e+01,   3.187500e-01
   2.322607e+01,   7.332521e+00,   1.950356e+01,   3.250000e-01
   2.334670e+01,   7.442077e+00,   1.948417e+01,   3.312500e-01
   2.346920e+01,   7.549887e+00,   1.946442e+01,   3.375000e-01
   2.359354e+01,   7.655923e+00,   1.944430e+01,   3.437500e-01
   2.371969e+01,   7.760159e+00,   1.942381e+01,   3.500000e-01
   2.384764e+01,   7.862569e+00,   1.940296e+01,   3.562500e-01
   2.397735e+01,   7.963126e+00,   1.938174e+01,   3.625000e-01
   2.410880e+01,   8.061804e+00,   1.936016e+01,   3.687500e-01
   2.424196e+01,   8.158580e+00,   1.933822e+01,   3.750000e-01
   2.437680e+01,   8.253427e+00,   1.931591e+01,   3.812500e-01
   2.451329e+01,   8.346322e+00,   1.929324e+01,   3.875000e-01
   2.465142e+01,   8.437241e+00,   1.927020e+01,   3.937500e-01
   2.479114e+01,   8.526159e+00,   1.924680e+01,   4.000000e-01
   2.493243e+01,   8.613054e+00,   1.922304e+01,   4.062500e-01
   2.507526e+01,   8.697902e+00,   1.919892e+01,   4.125000e-01
   2.521961e+01,   8.780682e+00,   1.917444e+01,   4.187500e-01
   2.536543e+01,   8.861372e+00,   1.914960e+01,   4.250000e-01
   2.551271e+01,   8.939950e+00,   1.912439e+01,   4.312500e-01
   2.566140e+01,   9.016394e+00,   1.909883e+01,   4.375000e-01
   2.581149e+01,   9.090685e+00,   1.907291e+01,   4.437500e-01
   2.596294e+01,   9.162802e+00,   1.904662e+01,   4.500000e-01
   2.611571e+01,   9.232725e+00,   1.901998e+01,   4.562500e-01
   2.626978e+01,   9.300436e+00,   1.899299e+01,   4.625000e-01
   2.642511e+01,   9.365914e+00,   1.896563e+01,   4.687500e-01
   2.658168e+01,   9.429143e+00,   1.893792e+01,   4.750000e-01
   2.673945e+01,   9.490103e+00,   1.890985e+01,   4.812500e-01
   2.689838e+01,   9.548777e+00,   1.888142e+01,   4.875000e-01
   2.705845e+01,   9.605149e+00,   1.885264e+01,   4.937500e-01
   2.721962e+01,   9.659202e+00,   1.882351e+01,   5.000000e-01
   2.738185e+01,   9.710920e+00,   1.879402e+01,   5.062500e-01
   2.754512e+01,   9.760287e+00,   1.876418e+01,   5.125000e-01
   2.770939e+01,   9.807288e+00,   1.873398e+01,   5.187500e-01
   2.787463e+01,   9.851909e+00,   1.870343e+01,   5.250000e-01
   2.804080e+01,   9.894136e+00,   1.867253e+01,   5.312500e-01
   2.820787e+01,   9.933954e+00,   1.864128e+01,   5.375000e-01
   2.837579e+01,   9.971351e+00,   1.860967e+01,   5.437500e-01
   2.854455e+01,   1.000631e+01,   1.857772e+01,   5.500000e-01
   2.871410e+01,   1.003883e+01,   1.854542e+01,   5.562500e-01
   2.888441e+01,   1.006889e+01,   1.851277e+01,   5.625000e-01
   2.905543e+01,   1.009648e+01,   1.847976e+01,   5.687500e-01
   2.922715e+01,   1.012160e+01,   1.844642e+01,   5.750000e-01
   2.939952e+01,   1.014422e+01,   1.841272e+01,   5.812500e-01
   2.957250e+01,   1.016434e+01,   1.837868e+01,   5.875000e-01
   2.974606e+01,   1.018196e+01,   1.834429e+01,   5.937500e-01
   2.992016e+01,   1.019706e+01,   1.830956e+01,   6.000000e-01
   3.009477e+01,   1.020964e+01,   1.827448e+01,   6.062500e-01
   3.026985e+01,   1.021968e+01,   1.823905e+01,   6.125000e-01
   3.044537e+01,   1.022718e+01,   1.820329e+01,   6.187500e-01
   3.062128e+01,   1.023214e+01,   1.816718e+01,   6.250000e-01
   3.079755e+01,   1.023455e+01,   1.813073e+01,   6.312500e-01
   3.097415e+01,   1.023440e+01,   1.809394e+01,   6.375000e-01
   3.115103e+01,   1.023170e+01,   1.805680e+01,   6.437500e-01
   3.132817e+01,   1.022642e+01,   1.801933e+01,   6.500000e-01
   3.150551e+01,   1.021858e+01,   1.798152e+01,   6.562500e-01
   3.168304e+01,   1.020816e+01,   1.794337e+01,   6.625000e-01
   3.186070e+01,   1.019517e+01,   1.790488e+01,   6.687500e-01
   3.203846e+01,   1.017959e+01,   1.786605e+01,   6.750000e-01
   3.221629e+01,   1.016144e+01,   1.782689e+01,   6.812500e-01
   3.239415e+01,   1.014071e+01,   1.778739e+01,   6.875000e-01
   3.257200e+01,   1.011740e+01,   1.774756e+01,   6.937500e-01
   3.274980e+01,   1.009151e+01,   1.770739e+01,   7.000000e-01
   3.292752e+01,   1.006304e+01,   1.766689e+01,   7.062500e-01
   3.310512e+01,   1.003198e+01,   1.762606e+01,   7.125000e-01
   3.328256e+01,   9.998353e+00,   1.758489e+01,   7.187500e-01
   3.345980e+01,   9.962146e+00,   1.754339e+01,   7.250000e-01
   3.363681e+01,   9.923365e+00,   1.750157e+01,   7.312500e-01
   3.381356e+01,   9.882015e+00,   1.745941e+01,   7.375000e-01
   3.399000e+01,   9.838098e+00,   1.741692e+01,   7.437500e-01
   3.416609e+01,   9.791618e+00,   1.737411e+01,   7.500000e-01
   3.434180e+01,   9.742581e+00,   1.733097e+01,   7.562500e-01
   3.451710e+01,   9.690992e+00,   1.728750e+01,   7.625000e-01
   3.469194e+01,   9.636856e+00,   1.724371e+01,   7.687500e-01
   3.486630e+01,   9.580181e+00,   1.719959e+01,   7.750000e-01
   3.504012e+01,   9.520971e+00,   1.715515e+01,   7.812500e-01
   3.521338e+01,   9.459236e+00,   1.711038e+01,   7.875000e-01
   3.538605e+01,   9.394984e+00,   1.706529e+01,   7.937500e-01
   3.555807e+01,   9.328221e+00,   1.701988e+01,   8.000000e-01
   3.572943e+01,   9.258958e+00,   1.697415e+01,   8.062500e-01
   3.590007e+01,   9.187204e+00,   1.692810e+01,   8.125000e-01
   3.606998e+01,   9.112970e+00,   1.688173e+01,   8.187500e-01
   3.623910e+01,   9.036264e+00,   1.683505e+01,   8.250000e-01
   3.640740e+01,   8.957099e+00,   1.678804e+01,   8.312500e-01
   3.657486e+01,   8.875486e+00,   1.674072e+01,   8.375000e-01
   3.674143e+01,   8.791438e+00,   1.669309e+01,   8.437500e-01
   3.690708e+01,   8.704966e+00,   1.664513e+01,   8.500000e-01
   3.707177e+01,   8.616084e+00,   1.659687e+01,   8.562500e-01
   3.723547e+01,   8.524805e+00,   1.654829e+01,   8.625000e-01
   3.739815e+01,   8.431144e+00,   1.649940e+01,   8.687500e-01
   3.755977e+01,   8.335114e+00,   1.645020e+01,   8.750000e-01
   3.772029e+01,   8.236732e+00,   1.640069e+01,   8.812500e-01
   3.787968e+01,   8.136013e+00,   1.635087e+01,   8.875000e-01
   3.803792e+01,   8.032972e+00,   1.630075e+01,   8.937500e-01
   3.819496e+01,   7.927626e+00,   1.625031e+01,   9.000000e-01
   3.835077e+01,   7.819992e+00,   1.619957e+01,   9.062500e-01
   3.850532e+01,   7.710089e+00,   1.614853e+01,   9.125000e-01
   3.865858e+01,   7.597933e+00,   1.609717e+01,   9.187500e-01
   3.881051e+01,   7.483543e+00,   1.604552e+01,   9.250000e-01
   3.896108e+01,   7.366938e+00,   1.599356e+01,   9.312500e-01
   3.911026e+01,   7.248137e+00,   1.594131e+01,   9.375000e-01
   3.925802e+01,   7.127161e+00,   1.588875e+01,   9.437500e-01
   3.940433e+01,   7.004029e+00,   1.583589e+01,   9.500000e-01
   3.954916e+01,   6.878762e+00,   1.578273e+01,   9.562500e-01
   3.969246e+01,   6.751382e+00,   1.572928e+01,   9.625000e-01
   3.983423e+01,   6.621910e+00,   1.567553e+01,   9.687500e-01
   3.997442e+01,   6.490367e+00,   1.562148e+01,   9.750000e-01
   4.011300e+01,   6.356778e+00,   1.556714e+01,   9.812500e-01
   4.024995e+01,   6.221164e+00,   1.551250e+01,   9.875000e-01
   4.038523e+01,   6.083548e+00,   1.545758e+01,   9.937500e-01
   4.051882e+01,   5.943956e+00,   1.540236e+01,   1.000000e+00
   4.065069e+01,   5.802410e+00,   1.534685e+01,   1.006250e+00
   4.078081e+01,   5.658935e+00,   1.529105e+01,   1.012500e+00
   4.090916e+01,   5.513557e+00,   1.523496e+01,   1.018750e+00
   4.103570e+01,   5.366300e+00,   1.517859e+01,   1.025000e+00
   4.116040e+01,   5.217191e+00,   1.512193e+01,   1.031250e+00
   4.128325e+01,   5.066256e+00,   1.506498e+01,   1.037500e+00
   4.140422e+01,   4.913521e+00,   1.500775e+01,   1.043750e+00
   4.152327e+01,   4.759013e+00,   1.495024e+01,   1.050000e+00
   4.164039e+01,   4.602760e+00,   1.489244e+01,   1.056250e+00
   4.175554e+01,   4.444789e+00,   1.483437e+01,   1.062500e+00
   4.186871e+01,   4.285129e+00,   1.477601e+01,   1.068750e+00
   4.197987e+01,   4.123807e+00,   1.471738e+01,   1.075000e+00
   4.208900e+01,   3.960852e+00,   1.465846e+01,   1.081250e+00
   4.219607e+01,   3.796294e+00,   1.459928e+01,   1.087500e+00
   4.230105e+01,   3.630162e+00,   1.453981e+01,   1.093750e+00
   4.240394e+01,   3.462486e+00,   1.448007e+01,   1.100000e+00
   4.250469e+01,   3.293296e+00,   1.442006e+01,   1.106250e+00
   4.260330e+01,   3.122622e+00,   1.435978e+01,   1.112500e+00
   4.269974e+01,   2.950495e+00,   1.429922e+01,   1.118750e+00
