x[μm], y[μm], z[μm], t[μm]
   2.000000e+01,   0.000000e+00,   2.000000e+01,   0.000000e+00
   2.000508e+01,   3.124510e-01,   1.999925e+01,   1.250000e-02
   2.002031e+01,   6.246081e-01,   1.999699e+01,   2.500000e-02
   2.004568e+01,   9.361777e-01,   1.999324e+01,   3.750000e-02
   2.008117e+01,   1.246866e+00,   1.998797e+01,   5.000000e-02
   2.012674e+01,   1.556382e+00,   1.998121e+01,   6.250000e-02
   2.018237e+01,   1.864433e+00,   1.997295e+01,   7.500000e-02
   2.024800e+01,   2.170729e+00,   1.996318e+01,   8.750000e-02
   2.032359e+01,   2.474982e+00,   1.995191e+01,   1.000000e-01
   2.040906e+01,   2.776904e+00,   1.993915e+01,   1.125000e-01
   2.050434e+01,   3.076209e+00,   1.992488e+01,   1.250000e-01
   2.060936e+01,   3.372616e+00,   1.990912e+01,   1.375000e-01
   2.072403e+01,   3.665843e+00,   1.989186e+01,   1.500000e-01
   2.084825e+01,   3.955613e+00,   1.987310e+01,   1.625000e-01
   2.098192e+01,   4.241650e+00,   1.985286e+01,   1.750000e-01
   2.112493e+01,   4.523683e+00,   1.983111e+01,   1.875000e-01
   2.127716e+01,   4.801442e+00,   1.980788e+01,   2.000000e-01
   2.143848e+01,   5.074663e+00,   1.978316e+01,   2.125000e-01
   2.160876e+01,   5.343084e+00,   1.975696e+01,   2.250000e-01
   2.178785e+01,   5.606448e+00,   1.972926e+01,   2.375000e-01
   2.197561e+01,   5.864501e+00,   1.970009e+01,   2.500000e-01
   2.217188e+01,   6.116996e+00,   1.966943e+01,   2.625000e-01
   2.237650e+01,   6.363687e+00,   1.963730e+01,   2.750000e-01
   2.258929e+01,   6.604335e+00,   1.960369e+01,   2.875000e-01
   2.281007e+01,   6.838706e+00,   1.956860e+01,   3.000000e-01
   2.303868e+01,   7.066571e+00,   1.953205e+01,   3.125000e-01
   2.327490e+01,   7.287706e+00,   1.949403e+01,   3.250000e-01
   2.351856e+01,   7.501892e+00,   1.945454e+01,   3.375000e-01
   2.376943e+01,   7.708918e+00,   1.941359e+01,   3.500000e-01
   2.402732e+01,   7.908577e+00,   1.937118e+01,   3.625000e-01
   2.429201e+01,   8.100669e+00,   1.932731e+01,   3.750000e-01
   2.456327e+01,   8.284999e+00,   1.928199e+01,   3.875000e-01
   2.484089e+01,   8.461379e+00,   1.923523e+01,   4.000000e-01
   2.512463e+01,   8.629629e+00,   1.918701e+01,   4.125000e-01
   2.541425e+01,   8.789575e+00,   1.913736e+01,   4.250000e-01
   2.570952e+01,   8.941048e+00,   1.908626e+01,   4.375000e-01
   2.601018e+01,   9.083889e+00,   1.903373e+01,   4.500000e-01
   2.631598e+01,   9.217944e+00,   1.897977e+01,   4.625000e-01
   2.662668e+01,   9.343067e+00,   1.892439e+01,   4.750000e-01
   2.694200e+01,   9.459120e+00,   1.886758e+01,   4.875000e-01
   2.726170e+01,   9.565971e+00,   1.880935e+01,   5.000000e-01
   2.758549e+01,   9.663498e+00,   1.874971e+01,   5.125000e-01
   2.791311e+01,   9.751584e+00,   1.868866e+01,   5.250000e-01
   2.824429e+01,   9.830121e+00,   1.862620e+01,   5.375000e-01
   2.857875e+01,   9.899010e+00,   1.856235e+01,   5.500000e-01
   2.891621e+01,   9.958159e+00,   1.849710e+01,   5.625000e-01
   2.925640e+01,   1.000748e+01,   1.843046e+01,   5.750000e-01
   2.959901e+01,   1.004691e+01,   1.836243e+01,   5.875000e-01
   2.994378e+01,   1.007637e+01,   1.829303e+01,   6.000000e-01
   3.029040e+01,   1.009580e+01,   1.822225e+01,   6.125000e-01
   3.063860e+01,   1.010515e+01,   1.815009e+01,   6.250000e-01
   3.098808e+01,   1.010438e+01,   1.807658e+01,   6.375000e-01
   3.133855e+01,   1.009346e+01,   1.800171e+01,   6.500000e-01
   3.168971e+01,   1.007236e+01,   1.792548e+01,   6.625000e-01
   3.204128e+01,   1.004106e+01,   1.784790e+01,   6.750000e-01
   3.239295e+01,   9.999556e+00,   1.776899e+01,   6.875000e-01
   3.274444e+01,   9.947844e+00,   1.768874e+01,   7.000000e-01
   3.309545e+01,   9.885933e+00,   1.760716e+01,   7.125000e-01
   3.344569e+01,   9.813840e+00,   1.752425e+01,   7.250000e-01
   3.379486e+01,   9.731590e+00,   1.744003e+01,   7.375000e-01
   3.414268e+01,   9.639216e+00,   1.735450e+01,   7.500000e-01
   3.448884e+01,   9.536760e+00,   1.726766e+01,   7.625000e-01
   3.483307e+01,   9.424273e+00,   1.717953e+01,   7.750000e-01
   3.517507e+01,   9.301811e+00,   1.709010e+01,   7.875000e-01
   3.551455e+01,   9.169444e+00,   1.699939e+01,   8.000000e-01
   3.585124e+01,   9.027244e+00,   1.690740e+01,   8.125000e-01
   3.618485e+01,   8.875296e+00,   1.681414e+01,   8.250000e-01
   3.651510e+01,   8.713690e+00,   1.671962e+01,   8.375000e-01
   3.684172e+01,   8.542526e+00,   1.662384e+01,   8.500000e-01
   3.716443e+01,   8.361911e+00,   1.652681e+01,   8.625000e-01
   3.748295e+01,   8.171960e+00,   1.642854e+01,   8.750000e-01
   3.779703e+01,   7.972795e+00,   1.632903e+01,   8.875000e-01
   3.810640e+01,   7.764547e+00,   1.622830e+01,   9.000000e-01
   3.841079e+01,   7.547354e+00,   1.612634e+01,   9.125000e-01
   3.870996e+01,   7.321360e+00,   1.602318e+01,   9.250000e-01
   3.900366e+01,   7.086720e+00,   1.591881e+01,   9.375000e-01
   3.929162e+01,   6.843592e+00,   1.581324e+01,   9.500000e-01
   3.957363e+01,   6.592143e+00,   1.570648e+01,   9.625000e-01
   3.984943e+01,   6.332547e+00,   1.559855e+01,   9.750000e-01
   4.011879e+01,   6.064984e+00,   1.548944e+01,   9.875000e-01
   4.038149e+01,   5.789642e+00,   1.537917e+01,   1.000000e+00
   4.063730e+01,   5.506714e+00,   1.526774e+01,   1.012500e+00
   4.088602e+01,   5.216400e+00,   1.515516e+01,   1.025000e+00
   4.112742e+01,   4.918905e+00,   1.504144e+01,   1.037500e+00
   4.136132e+01,   4.614443e+00,   1.492660e+01,   1.050000e+00
   4.158750e+01,   4.303229e+00,   1.481063e+01,   1.062500e+00
   4.180578e+01,   3.985488e+00,   1.469355e+01,   1.075000e+00
   4.201597e+01,   3.661449e+00,   1.457536e+01,   1.087500e+00
   4.221789e+01,   3.331345e+00,   1.445608e+01,   1.100000e+00
   4.241138e+01,   2.995415e+00,   1.433571e+01,   1.112500e+00
   4.259627e+01,   2.653903e+00,   1.421427e+01,   1.125000e+00
   4.277240e+01,   2.307058e+00,   1.409175e+01,   1.137500e+00
   4.293961e+01,   1.955132e+00,   1.396818e+01,   1.150000e+00
   4.309778e+01,   1.598383e+00,   1.384356e+01,   1.162500e+00
   4.324676e+01,   1.237071e+00,   1.371789e+01,   1.175000e+00
   4.338643e+01,   8.714612e-01,   1.359120e+01,   1.187500e+00
   4.351666e+01,   5.018224e-01,   1.346348e+01,   1.200000e+00
   4.363735e+01,   1.284262e-01,   1.333475e+01,   1.212500e+00
   4.374838e+01,  -2.484525e-01,   1.320502e+01,   1.225000e+00
   4.384967e+01,  -6.285359e-01,   1.307430e+01,   1.237500e+00
   4.394111e+01,  -1.011544e+00,   1.294259e+01,   1.250000e+00
   4.402265e+01,  -1.397193e+00,   1.280992e+01,   1.262500e+00
   4.409419e+01,  -1.785198e+00,   1.267627e+01,   1.275000e+00
   4.415568e+01,  -2.175272e+00,   1.254168e+01,   1.287500e+00
   4.420706e+01,  -2.567128e+00,   1.240614e+01,   1.300000e+00
   4.424829e+01,  -2.960473e+00,   1.226967e+01,   1.312500e+00
   4.427932e+01,  -3.355017e+00,   1.213228e+01,   1.325000e+00
   4.430013e+01,  -3.750467e+00,   1.199398e+01,   1.337500e+00
   4.431069e+01,  -4.146531e+00,   1.185477e+01,   1.350000e+00
   4.431099e+01,  -4.542914e+00,   1.171467e+01,   1.362500e+00
   4.430102e+01,  -4.939322e+00,   1.157370e+01,   1.375000e+00
