x[μm], y[μm], z[μm], t[μm]
   2.000000e+01,   0.000000e+00,   2.000000e+01,   0.000000e+00
   2.000000e+01,   3.125000e-01,   2.000000e+01,   1.250000e-02
   2.001016e+01,   6.250000e-01,   1.999850e+01,   2.500000e-02
   2.003047e+01,   9.372060e-01,   1.999549e+01,   3.750000e-02
   2.006093e+01,   1.248824e+00,   1.999098e+01,   5.000000e-02
   2.010153e+01,   1.559561e+00,   1.998497e+01,   6.250000e-02
   2.015223e+01,   1.869122e+00,   1.997745e+01,   7.500000e-02
   2.021300e+01,   2.177216e+00,   1.996843e+01,   8.750000e-02
   2.028381e+01,   2.483552e+00,   1.995791e+01,   1.000000e-01
   2.036459e+01,   2.787838e+00,   1.994589e+01,   1.125000e-01
   2.045530e+01,   3.089786e+00,   1.993237e+01,   1.250000e-01
   2.055585e+01,   3.389109e+00,   1.991735e+01,   1.375000e-01
   2.066619e+01,   3.685522e+00,   1.990084e+01,   1.500000e-01
   2.078622e+01,   3.978741e+00,   1.988282e+01,   1.625000e-01
   2.091585e+01,   4.268486e+00,   1.986331e+01,   1.750000e-01
   2.105498e+01,   4.554479e+00,   1.984231e+01,   1.875000e-01
   2.120351e+01,   4.836444e+00,   1.981981e+01,   2.000000e-01
   2.136131e+01,   5.114111e+00,   1.979582e+01,   2.125000e-01
   2.152827e+01,   5.387210e+00,   1.977034e+01,   2.250000e-01
   2.170425e+01,   5.655476e+00,   1.974337e+01,   2.375000e-01
   2.188911e+01,   5.918648e+00,   1.971492e+01,   2.500000e-01
   2.208271e+01,   6.176469e+00,   1.968498e+01,   2.625000e-01
   2.228490e+01,   6.428685e+00,   1.965356e+01,   2.750000e-01
   2.249550e+01,   6.675048e+00,   1.962066e+01,   2.875000e-01
   2.271436e+01,   6.915314e+00,   1.958628e+01,   3.000000e-01
   2.294129e+01,   7.149244e+00,   1.955043e+01,   3.125000e-01
   2.317612e+01,   7.376604e+00,   1.951311e+01,   3.250000e-01
   2.341865e+01,   7.597164e+00,   1.947432e+01,   3.375000e-01
   2.366869e+01,   7.810703e+00,   1.943406e+01,   3.500000e-01
   2.392604e+01,   8.017001e+00,   1.939233e+01,   3.625000e-01
   2.419049e+01,   8.215847e+00,   1.934915e+01,   3.750000e-01
   2.446182e+01,   8.407035e+00,   1.930451e+01,   3.875000e-01
   2.473981e+01,   8.590365e+00,   1.925841e+01,   4.000000e-01
   2.502425e+01,   8.765645e+00,   1.921086e+01,   4.125000e-01
   2.531488e+01,   8.932686e+00,   1.916187e+01,   4.250000e-01
   2.561149e+01,   9.091310e+00,   1.911143e+01,   4.375000e-01
   2.591382e+01,   9.241342e+00,   1.905955e+01,   4.500000e-01
   2.622163e+01,   9.382616e+00,   1.900623e+01,   4.625000e-01
   2.653467e+01,   9.514974e+00,   1.895148e+01,   4.750000e-01
   2.685267e+01,   9.638262e+00,   1.889531e+01,   4.875000e-01
   2.717538e+01,   9.752337e+00,   1.883771e+01,   5.000000e-01
   2.750254e+01,   9.857061e+00,   1.877868e+01,   5.125000e-01
   2.783387e+01,   9.952305e+00,   1.871825e+01,   5.250000e-01
   2.816909e+01,   1.003795e+01,   1.865640e+01,   5.375000e-01
   2.850795e+01,   1.011387e+01,   1.859314e+01,   5.500000e-01
   2.885014e+01,   1.017998e+01,   1.852848e+01,   5.625000e-01
   2.919540e+01,   1.023617e+01,   1.846243e+01,   5.750000e-01
   2.954343e+01,   1.028234e+01,   1.839498e+01,   5.875000e-01
   2.989395e+01,   1.031843e+01,   1.832614e+01,   6.000000e-01
   3.024667e+01,   1.034436e+01,   1.825592e+01,   6.125000e-01
   3.060129e+01,   1.036005e+01,   1.818432e+01,   6.250000e-01
   3.095752e+01,   1.036546e+01,   1.811135e+01,   6.375000e-01
   3.131506e+01,   1.036054e+01,   1.803702e+01,   6.500000e-01
   3.167362e+01,   1.034525e+01,   1.796132e+01,   6.625000e-01
   3.203289e+01,   1.031956e+01,   1.788427e+01,   6.750000e-01
   3.239258e+01,   1.028344e+01,   1.780587e+01,   6.875000e-01
   3.275239e+01,   1.023688e+01,   1.772612e+01,   7.000000e-01
   3.311201e+01,   1.017988e+01,   1.764503e+01,   7.125000e-01
   3.347115e+01,   1.011244e+01,   1.756261e+01,   7.250000e-01
   3.382951e+01,   1.003458e+01,   1.747887e+01,   7.375000e-01
   3.418677e+01,   9.946304e+00,   1.739380e+01,   7.500000e-01
   3.454266e+01,   9.847657e+00,   1.730743e+01,   7.625000e-01
   3.489686e+01,   9.738673e+00,   1.721974e+01,   7.750000e-01
   3.524907e+01,   9.619398e+00,   1.713075e+01,   7.875000e-01
   3.559901e+01,   9.489889e+00,   1.704047e+01,   8.000000e-01
   3.594638e+01,   9.350208e+00,   1.694890e+01,   8.125000e-01
   3.629088e+01,   9.200430e+00,   1.685605e+01,   8.250000e-01
   3.663222e+01,   9.040634e+00,   1.676193e+01,   8.375000e-01
   3.697012e+01,   8.870910e+00,   1.666654e+01,   8.500000e-01
   3.730428e+01,   8.691357e+00,   1.656989e+01,   8.625000e-01
   3.763443e+01,   8.502079e+00,   1.647199e+01,   8.750000e-01
   3.796029e+01,   8.303191e+00,   1.637284e+01,   8.875000e-01
   3.828157e+01,   8.094815e+00,   1.627245e+01,   9.000000e-01
   3.859801e+01,   7.877082e+00,   1.617083e+01,   9.125000e-01
   3.890934e+01,   7.650128e+00,   1.606799e+01,   9.250000e-01
   3.921528e+01,   7.414101e+00,   1.596394e+01,   9.375000e-01
   3.951558e+01,   7.169153e+00,   1.585867e+01,   9.500000e-01
   3.980999e+01,   6.915445e+00,   1.575221e+01,   9.625000e-01
   4.009824e+01,   6.653146e+00,   1.564455e+01,   9.750000e-01
   4.038010e+01,   6.382431e+00,   1.553571e+01,   9.875000e-01
   4.065531e+01,   6.103482e+00,   1.542570e+01,   1.000000e+00
   4.092365e+01,   5.816491e+00,   1.531451e+01,   1.012500e+00
   4.118487e+01,   5.521652e+00,   1.520217e+01,   1.025000e+00
   4.143876e+01,   5.219170e+00,   1.508867e+01,   1.037500e+00
   4.168510e+01,   4.909254e+00,   1.497404e+01,   1.050000e+00
   4.192366e+01,   4.592120e+00,   1.485827e+01,   1.062500e+00
   4.215425e+01,   4.267990e+00,   1.474137e+01,   1.075000e+00
   4.237665e+01,   3.937092e+00,   1.462336e+01,   1.087500e+00
   4.259069e+01,   3.599662e+00,   1.450423e+01,   1.100000e+00
   4.279615e+01,   3.255937e+00,   1.438401e+01,   1.112500e+00
   4.299288e+01,   2.906164e+00,   1.426270e+01,   1.125000e+00
   4.318068e+01,   2.550592e+00,   1.414031e+01,   1.137500e+00
