x[μm], y[μm], z[μm], v_x[μm/μs], v_y[μm/μs], v_y[μm/μs], t[μm]
   2.000000e+01,   0.000000e+00,   2.000000e+01,   0.000000e+00,   2.500000e+01,   0.000000e+00,   0.000000e+00
   2.000032e+01,   7.812423e-02,   1.999995e+01,   2.031412e-01,   2.499927e+01,  -3.006635e-02,   3.125000e-03
   2.000127e+01,   1.562439e-01,   1.999981e+01,   4.062718e-01,   2.499706e+01,  -6.013255e-02,   6.250000e-03
   2.000286e+01,   2.343543e-01,   1.999958e+01,   6.093812e-01,   2.499339e+01,  -9.019848e-02,   9.375000e-03
   2.000508e+01,   3.124510e-01,   1.999925e+01,   8.124589e-01,   2.498824e+01,  -1.202640e-01,   1.250000e-02
   2.000793e+01,   3.905293e-01,   1.999883e+01,   1.015494e+00,   2.498163e+01,  -1.503289e-01,   1.562500e-02
   2.001143e+01,   4.685847e-01,   1.999831e+01,   1.218477e+00,   2.497355e+01,  -1.803931e-01,   1.875000e-02
   2.001555e+01,   5.466125e-01,   1.999770e+01,   1.421396e+00,   2.496400e+01,  -2.104565e-01,   2.187500e-02
   2.002031e+01,   6.246081e-01,   1.999699e+01,   1.624241e+00,   2.495298e+01,  -2.405189e-01,   2.500000e-02
   2.002570e+01,   7.025671e-01,   1.999619e+01,   1.827001e+00,   2.494049e+01,  -2.705802e-01,   2.812500e-02
   2.003173e+01,   7.804847e-01,   1.999530e+01,   2.029666e+00,   2.492654e+01,  -3.006402e-01,   3.125000e-02
   2.003839e+01,   8.583564e-01,   1.999432e+01,   2.232226e+00,   2.491112e+01,  -3.306987e-01,   3.437500e-02
   2.004568e+01,   9.361777e-01,   1.999324e+01,   2.434669e+00,   2.489424e+01,  -3.607558e-01,   3.750000e-02
   2.005360e+01,   1.013944e+00,   1.999206e+01,   2.636985e+00,   2.487589e+01,  -3.908111e-01,   4.062500e-02
   2.006216e+01,   1.091650e+00,   1.999079e+01,   2.839164e+00,   2.485608e+01,  -4.208646e-01,   4.375000e-02
   2.007135e+01,   1.169293e+00,   1.998943e+01,   3.041195e+00,   2.483481e+01,  -4.509161e-01,   4.687500e-02
   2.008117e+01,   1.246866e+00,   1.998797e+01,   3.243068e+00,   2.481207e+01,  -4.809655e-01,   5.000000e-02
   2.009162e+01,   1.324367e+00,   1.998642e+01,   3.444771e+00,   2.478788e+01,  -5.110126e-01,   5.312500e-02
   2.010270e+01,   1.401789e+00,   1.998478e+01,   3.646296e+00,   2.476222e+01,  -5.410574e-01,   5.625000e-02
   2.011441e+01,   1.479129e+00,   1.998304e+01,   3.847630e+00,   2.473511e+01,  -5.710996e-01,   5.937500e-02
   2.012674e+01,   1.556382e+00,   1.998121e+01,   4.048764e+00,   2.470655e+01,  -6.011391e-01,   6.250000e-02
