x[μm], y[μm], z[μm], t[μm]
   2.000000e+01,   0.000000e+00,   2.000000e+01,   0.000000e+00
   2.000000e+01,   0.000000e+00,   2.000000e+01,   0.000000e+00
   2.000032e+01,   7.812423e-02,   1.999995e+01,   3.125000e-03
   2.000127e+01,   1.562439e-01,   1.999981e+01,   6.250000e-03
   2.000286e+01,   2.343543e-01,   1.999958e+01,   9.375000e-03
   2.000508e+01,   3.124510e-01,   1.999925e+01,   1.250000e-02
   2.000793e+01,   3.905293e-01,   1.999883e+01,   1.562500e-02
   2.001143e+01,   4.685847e-01,   1.999831e+01,   1.875000e-02
   2.001555e+01,   5.466125e-01,   1.999770e+01,   2.187500e-02
   2.002031e+01,   6.246081e-01,   1.999699e+01,   2.500000e-02
   2.002570e+01,   7.025671e-01,   1.999619e+01,   2.812500e-02
   2.003173e+01,   7.804847e-01,   1.999530e+01,   3.125000e-02
   2.003839e+01,   8.583564e-01,   1.999432e+01,   3.437500e-02
   2.004568e+01,   9.361777e-01,   1.999324e+01,   3.750000e-02
   2.005360e+01,   1.013944e+00,   1.999206e+01,   4.062500e-02
   2.006216e+01,   1.091650e+00,   1.999079e+01,   4.375000e-02
   2.007135e+01,   1.169293e+00,   1.998943e+01,   4.687500e-02
   2.008117e+01,   1.246866e+00,   1.998797e+01,   5.000000e-02
   2.009162e+01,   1.324367e+00,   1.998642e+01,   5.312500e-02
   2.010270e+01,   1.401789e+00,   1.998478e+01,   5.625000e-02
   2.011441e+01,   1.479129e+00,   1.998304e+01,   5.937500e-02
   2.012674e+01,   1.556382e+00,   1.998121e+01,   6.250000e-02
   2.013971e+01,   1.633544e+00,   1.997929e+01,   6.562500e-02
   2.015330e+01,   1.710609e+00,   1.997727e+01,   6.875000e-02
   2.016753e+01,   1.787574e+00,   1.997515e+01,   7.187500e-02
   2.018237e+01,   1.864433e+00,   1.997295e+01,   7.500000e-02
   2.019784e+01,   1.941183e+00,   1.997065e+01,   7.812500e-02
   2.021394e+01,   2.017819e+00,   1.996825e+01,   8.125000e-02
   2.023066e+01,   2.094336e+00,   1.996576e+01,   8.437500e-02
   2.024800e+01,   2.170729e+00,   1.996318e+01,   8.750000e-02
   2.026597e+01,   2.246995e+00,   1.996050e+01,   9.062500e-02
   2.028456e+01,   2.323129e+00,   1.995773e+01,   9.375000e-02
   2.030376e+01,   2.399126e+00,   1.995487e+01,   9.687500e-02
   2.032359e+01,   2.474982e+00,   1.995191e+01,   1.000000e-01
   2.034403e+01,   2.550692e+00,   1.994886e+01,   1.031250e-01
   2.036509e+01,   2.626252e+00,   1.994572e+01,   1.062500e-01
