z[μm], t[μm]
   2.000000e+01,   0.000000e+00
   1.999995e+01,   3.125000e-03
   1.999981e+01,   6.250000e-03
   1.999958e+01,   9.375000e-03
   1.999925e+01,   1.250000e-02
   1.999883e+01,   1.562500e-02
   1.999831e+01,   1.875000e-02
   1.999770e+01,   2.187500e-02
   1.999699e+01,   2.500000e-02
   1.999619e+01,   2.812500e-02
   1.999530e+01,   3.125000e-02
   1.999432e+01,   3.437500e-02
   1.999324e+01,   3.750000e-02
   1.999206e+01,   4.062500e-02
   1.999079e+01,   4.375000e-02
   1.998943e+01,   4.687500e-02
   1.998797e+01,   5.000000e-02
   1.998642e+01,   5.312500e-02
   1.998478e+01,   5.625000e-02
   1.998304e+01,   5.937500e-02
   1.998121e+01,   6.250000e-02
   1.997929e+01,   6.562500e-02
   1.997727e+01,   6.875000e-02
   1.997515e+01,   7.187500e-02
   1.997295e+01,   7.500000e-02
   1.997065e+01,   7.812500e-02
   1.996825e+01,   8.125000e-02
   1.996576e+01,   8.437500e-02
   1.996318e+01,   8.750000e-02
   1.996050e+01,   9.062500e-02
   1.995773e+01,   9.375000e-02
   1.995487e+01,   9.687500e-02
   1.995191e+01,   1.000000e-01
   1.994886e+01,   1.031250e-01
   1.994572e+01,   1.062500e-01
   1.994248e+01,   1.093750e-01
   1.993915e+01,   1.125000e-01
   1.993572e+01,   1.156250e-01
   1.993220e+01,   1.187500e-01
   1.992859e+01,   1.218750e-01
   1.992488e+01,   1.250000e-01
   1.992108e+01,   1.281250e-01
   1.991719e+01,   1.312500e-01
   1.991320e+01,   1.343750e-01
   1.990912e+01,   1.375000e-01
   1.990494e+01,   1.406250e-01
   1.990068e+01,   1.437500e-01
   1.989631e+01,   1.468750e-01
   1.989186e+01,   1.500000e-01
   1.988731e+01,   1.531250e-01
   1.988267e+01,   1.562500e-01
   1.987793e+01,   1.593750e-01
   1.987310e+01,   1.625000e-01
   1.986818e+01,   1.656250e-01
   1.986317e+01,   1.687500e-01
   1.985806e+01,   1.718750e-01
   1.985286e+01,   1.750000e-01
   1.984756e+01,   1.781250e-01
   1.984217e+01,   1.812500e-01
   1.983669e+01,   1.843750e-01
   1.983111e+01,   1.875000e-01
   1.982545e+01,   1.906250e-01
   1.981969e+01,   1.937500e-01
   1.981383e+01,   1.968750e-01
   1.980788e+01,   2.000000e-01
   1.980184e+01,   2.031250e-01
   1.979571e+01,   2.062500e-01
   1.978948e+01,   2.093750e-01
   1.978316e+01,   2.125000e-01
   1.977675e+01,   2.156250e-01
   1.977025e+01,   2.187500e-01
   1.976365e+01,   2.218750e-01
   1.975696e+01,   2.250000e-01
   1.975017e+01,   2.281250e-01
   1.974330e+01,   2.312500e-01
   1.973633e+01,   2.343750e-01
   1.972926e+01,   2.375000e-01
   1.972211e+01,   2.406250e-01
   1.971486e+01,   2.437500e-01
   1.970752e+01,   2.468750e-01
   1.970009e+01,   2.500000e-01
   1.969256e+01,   2.531250e-01
   1.968495e+01,   2.562500e-01
   1.967724e+01,   2.593750e-01
   1.966943e+01,   2.625000e-01
   1.966154e+01,   2.656250e-01
   1.965355e+01,   2.687500e-01
   1.964547e+01,   2.718750e-01
   1.963730e+01,   2.750000e-01
   1.962903e+01,   2.781250e-01
   1.962068e+01,   2.812500e-01
   1.961223e+01,   2.843750e-01
   1.960369e+01,   2.875000e-01
   1.959506e+01,   2.906250e-01
   1.958633e+01,   2.937500e-01
   1.957751e+01,   2.968750e-01
   1.956860e+01,   3.000000e-01
   1.955960e+01,   3.031250e-01
   1.955051e+01,   3.062500e-01
   1.954133e+01,   3.093750e-01
   1.953205e+01,   3.125000e-01
   1.952268e+01,   3.156250e-01
   1.951322e+01,   3.187500e-01
   1.950367e+01,   3.218750e-01
   1.949403e+01,   3.250000e-01
   1.948429e+01,   3.281250e-01
   1.947447e+01,   3.312500e-01
   1.946455e+01,   3.343750e-01
   1.945454e+01,   3.375000e-01
   1.944444e+01,   3.406250e-01
   1.943425e+01,   3.437500e-01
   1.942396e+01,   3.468750e-01
   1.941359e+01,   3.500000e-01
   1.940312e+01,   3.531250e-01
   1.939256e+01,   3.562500e-01
   1.938192e+01,   3.593750e-01
