x[μm], y[μm], z[μm], v_x[μm/μs], v_y[μm/μs], v_y[μm/μs], t[μm]
   2.500000e+01,   2.500000e+01,   0.000000e+00,   0.000000e+00,   4.000000e+01,   5.000000e+00,   0.000000e+00
   2.500000e+01,   2.512500e+01,   1.562500e-02,   3.198068e-01,   4.001879e+01,   5.000000e+00,   3.125000e-03
   2.500100e+01,   2.525006e+01,   3.125000e-02,   6.397550e-01,   4.003527e+01,   4.999977e+00,   6.250000e-03
   2.500300e+01,   2.537517e+01,   4.687493e-02,   9.598279e-01,   4.004944e+01,   4.999930e+00,   9.375000e-03
   2.500600e+01,   2.550032e+01,   6.249971e-02,   1.280009e+00,   4.006129e+01,   4.999859e+00,   1.250000e-02
   2.501000e+01,   2.562551e+01,   7.812427e-02,   1.600281e+00,   4.007082e+01,   4.999765e+00,   1.562500e-02
   2.501500e+01,   2.575074e+01,   9.374853e-02,   1.920629e+00,   4.007804e+01,   4.999648e+00,   1.875000e-02
   2.502100e+01,   2.587598e+01,   1.093724e-01,   2.241034e+00,   4.008295e+01,   4.999507e+00,   2.187500e-02
   2.502800e+01,   2.600124e+01,   1.249959e-01,   2.561481e+00,   4.008554e+01,   4.999342e+00,   2.500000e-02
   2.503601e+01,   2.612651e+01,   1.406188e-01,   2.881952e+00,   4.008581e+01,   4.999154e+00,   2.812500e-02
   2.504501e+01,   2.625177e+01,   1.562412e-01,   3.202432e+00,   4.008376e+01,   4.998943e+00,   3.125000e-02
   2.505502e+01,   2.637704e+01,   1.718629e-01,   3.522903e+00,   4.007940e+01,   4.998708e+00,   3.437500e-02
   2.506603e+01,   2.650228e+01,   1.874839e-01,   3.843348e+00,   4.007271e+01,   4.998450e+00,   3.750000e-02
   2.507804e+01,   2.662751e+01,   2.031040e-01,   4.163752e+00,   4.006372e+01,   4.998168e+00,   4.062500e-02
   2.509105e+01,   2.675271e+01,   2.187233e-01,   4.484097e+00,   4.005240e+01,   4.997863e+00,   4.375000e-02
   2.510507e+01,   2.687787e+01,   2.343416e-01,   4.804366e+00,   4.003877e+01,   4.997534e+00,   4.687500e-02
   2.512008e+01,   2.700300e+01,   2.499589e-01,   5.124544e+00,   4.002282e+01,   4.997181e+00,   5.000000e-02
   2.513609e+01,   2.712807e+01,   2.655751e-01,   5.444612e+00,   4.000456e+01,   4.996806e+00,   5.312500e-02
   2.515311e+01,   2.725308e+01,   2.811901e-01,   5.764556e+00,   3.998399e+01,   4.996406e+00,   5.625000e-02
   2.517112e+01,   2.737803e+01,   2.968039e-01,   6.084357e+00,   3.996110e+01,   4.995984e+00,   5.937500e-02
