x[μm], y[μm], z[μm], v_x[μm/μs], v_y[μm/μs], v_y[μm/μs], t[μm]
   2.500000e+01,   2.500000e+01,   0.000000e+00,   0.000000e+00,   4.000000e+01,   5.000000e+00,   0.000000e+00
   2.500000e+01,   2.512500e+01,   1.562500e-02,   3.198068e-01,   4.001899e+01,   4.999841e+00,   3.125000e-03
   2.500100e+01,   2.525006e+01,   3.124950e-02,   6.397564e-01,   4.003567e+01,   4.999659e+00,   6.250000e-03
   2.500300e+01,   2.537517e+01,   4.687344e-02,   9.598321e-01,   4.005003e+01,   4.999454e+00,   9.375000e-03
   2.500600e+01,   2.550033e+01,   6.249673e-02,   1.280017e+00,   4.006208e+01,   4.999227e+00,   1.250000e-02
   2.501000e+01,   2.562552e+01,   7.811932e-02,   1.600295e+00,   4.007182e+01,   4.998976e+00,   1.562500e-02
   2.501500e+01,   2.575075e+01,   9.374112e-02,   1.920650e+00,   4.007923e+01,   4.998702e+00,   1.875000e-02
   2.502100e+01,   2.587599e+01,   1.093621e-01,   2.241063e+00,   4.008434e+01,   4.998405e+00,   2.187500e-02
   2.502800e+01,   2.600126e+01,   1.249821e-01,   2.561520e+00,   4.008712e+01,   4.998086e+00,   2.500000e-02
   2.503601e+01,   2.612653e+01,   1.406011e-01,   2.882003e+00,   4.008759e+01,   4.997743e+00,   2.812500e-02
   2.504502e+01,   2.625180e+01,   1.562190e-01,   3.202495e+00,   4.008574e+01,   4.997377e+00,   3.125000e-02
   2.505502e+01,   2.637707e+01,   1.718358e-01,   3.522980e+00,   4.008157e+01,   4.996989e+00,   3.437500e-02
   2.506603e+01,   2.650233e+01,   1.874514e-01,   3.843441e+00,   4.007509e+01,   4.996577e+00,   3.750000e-02
   2.507804e+01,   2.662756e+01,   2.030657e-01,   4.163861e+00,   4.006629e+01,   4.996143e+00,   4.062500e-02
   2.509106e+01,   2.675277e+01,   2.186787e-01,   4.484224e+00,   4.005517e+01,   4.995685e+00,   4.375000e-02
