x[μm], y[μm], z[μm], v_x[μm/μs], v_y[μm/μs], v_y[μm/μs], t[μm]
   2.500000e+01,   2.500000e+01,   0.000000e+00,   0.000000e+00,   4.000000e+01,   5.000000e+00,   0.000000e+00
   2.500050e+01,   2.512503e+01,   1.562499e-02,   3.198350e-01,   4.001764e+01,   4.999988e+00,   3.125000e-03
   2.500200e+01,   2.525011e+01,   3.124990e-02,   6.397947e-01,   4.003296e+01,   4.999953e+00,   6.250000e-03
   2.500450e+01,   2.537523e+01,   4.687467e-02,   9.598626e-01,   4.004597e+01,   4.999894e+00,   9.375000e-03
   2.500800e+01,   2.550039e+01,   6.249922e-02,   1.280022e+00,   4.005666e+01,   4.999812e+00,   1.250000e-02
   2.501250e+01,   2.562558e+01,   7.812347e-02,   1.600256e+00,   4.006504e+01,   4.999706e+00,   1.562500e-02
   2.501800e+01,   2.575080e+01,   9.374736e-02,   1.920548e+00,   4.007110e+01,   4.999577e+00,   1.875000e-02
   2.502450e+01,   2.587603e+01,   1.093708e-01,   2.240882e+00,   4.007485e+01,   4.999425e+00,   2.187500e-02
   2.503201e+01,   2.600126e+01,   1.249937e-01,   2.561240e+00,   4.007628e+01,   4.999248e+00,   2.500000e-02
   2.504051e+01,   2.612650e+01,   1.406161e-01,   2.881606e+00,   4.007539e+01,   4.999049e+00,   2.812500e-02
   2.505002e+01,   2.625173e+01,   1.562378e-01,   3.201964e+00,   4.007219e+01,   4.998826e+00,   3.125000e-02
   2.506052e+01,   2.637695e+01,   1.718587e-01,   3.522296e+00,   4.006667e+01,   4.998579e+00,   3.437500e-02
   2.507203e+01,   2.650215e+01,   1.874789e-01,   3.842587e+00,   4.005884e+01,   4.998309e+00,   3.750000e-02
   2.508454e+01,   2.662731e+01,   2.030981e-01,   4.162819e+00,   4.004869e+01,   4.998015e+00,   4.062500e-02
   2.509805e+01,   2.675245e+01,   2.187164e-01,   4.482975e+00,   4.003622e+01,   4.997698e+00,   4.375000e-02
   2.511256e+01,   2.687754e+01,   2.343337e-01,   4.803040e+00,   4.002144e+01,   4.997358e+00,   4.687500e-02
   2.512807e+01,   2.700258e+01,   2.499499e-01,   5.122996e+00,   4.000435e+01,   4.996994e+00,   5.000000e-02
   2.514458e+01,   2.712756e+01,   2.655649e-01,   5.442826e+00,   3.998494e+01,   4.996606e+00,   5.312500e-02
   2.516208e+01,   2.725248e+01,   2.811787e-01,   5.762515e+00,   3.996322e+01,   4.996195e+00,   5.625000e-02
   2.518059e+01,   2.737733e+01,   2.967911e-01,   6.082045e+00,   3.993919e+01,   4.995761e+00,   5.937500e-02
   2.520010e+01,   2.750210e+01,   3.124021e-01,   6.401400e+00,   3.991285e+01,   4.995303e+00,   6.250000e-02
   2.522060e+01,   2.762678e+01,   3.280117e-01,   6.720563e+00,   3.988420e+01,   4.994821e+00,   6.562500e-02
   2.524210e+01,   2.775137e+01,   3.436197e-01,   7.039518e+00,   3.985325e+01,   4.994317e+00,   6.875000e-02
   2.526460e+01,   2.787586e+01,   3.592262e-01,   7.358247e+00,   3.981999e+01,   4.993788e+00,   7.187500e-02
   2.528809e+01,   2.800025e+01,   3.748309e-01,   7.676735e+00,   3.978442e+01,   4.993237e+00,   7.500000e-02
   2.531258e+01,   2.812451e+01,   3.904339e-01,   7.994965e+00,   3.974655e+01,   4.992661e+00,   7.812500e-02
   2.533806e+01,   2.824866e+01,   4.060350e-01,   8.312919e+00,   3.970639e+01,   4.992063e+00,   8.125000e-02
   2.536453e+01,   2.837268e+01,   4.216342e-01,   8.630583e+00,   3.966392e+01,   4.991441e+00,   8.437500e-02
   2.539200e+01,   2.849656e+01,   4.372315e-01,   8.947939e+00,   3.961916e+01,   4.990795e+00,   8.750000e-02
   2.542046e+01,   2.862029e+01,   4.528267e-01,   9.264970e+00,   3.957211e+01,   4.990126e+00,   9.062500e-02
   2.544990e+01,   2.874388e+01,   4.684198e-01,   9.581660e+00,   3.952276e+01,   4.989434e+00,   9.375000e-02
   2.548034e+01,   2.886731e+01,   4.840106e-01,   9.897993e+00,   3.947113e+01,   4.988718e+00,   9.687500e-02
   2.551177e+01,   2.899057e+01,   4.995992e-01,   1.021395e+01,   3.941721e+01,   4.987978e+00,   1.000000e-01
   2.554418e+01,   2.911366e+01,   5.151855e-01,   1.052952e+01,   3.936100e+01,   4.987215e+00,   1.031250e-01
   2.557757e+01,   2.923658e+01,   5.307693e-01,   1.084468e+01,   3.930252e+01,   4.986429e+00,   1.062500e-01
   2.561196e+01,   2.935930e+01,   5.463506e-01,   1.115942e+01,   3.924176e+01,   4.985620e+00,   1.093750e-01
   2.564732e+01,   2.948183e+01,   5.619294e-01,   1.147372e+01,   3.917872e+01,   4.984787e+00,   1.125000e-01
   2.568367e+01,   2.960417e+01,   5.775055e-01,   1.178756e+01,   3.911341e+01,   4.983930e+00,   1.156250e-01
   2.572099e+01,   2.972629e+01,   5.930789e-01,   1.210093e+01,   3.904584e+01,   4.983050e+00,   1.187500e-01
   2.575930e+01,   2.984820e+01,   6.086495e-01,   1.241382e+01,   3.897600e+01,   4.982147e+00,   1.218750e-01
   2.579858e+01,   2.996989e+01,   6.242173e-01,   1.272620e+01,   3.890390e+01,   4.981220e+00,   1.250000e-01
   2.583883e+01,   3.009135e+01,   6.397822e-01,   1.303805e+01,   3.882954e+01,   4.980270e+00,   1.281250e-01
