x[μm], y[μm], z[μm], v_x[μm/μs], v_y[μm/μs], v_y[μm/μs], t[μm]
   2.500000e+01,   2.500000e+01,   0.000000e+00,   0.000000e+00,   4.000000e+01,   5.000000e+00,   0.000000e+00
   2.500050e+01,   2.512503e+01,   1.562474e-02,   3.198755e-01,   4.001783e+01,   4.999829e+00,   3.125000e-03
   2.500200e+01,   2.525011e+01,   3.124891e-02,   6.398772e-01,   4.003335e+01,   4.999635e+00,   6.250000e-03
   2.500450e+01,   2.537523e+01,   4.687244e-02,   9.599884e-01,   4.004656e+01,   4.999419e+00,   9.375000e-03
   2.500800e+01,   2.550040e+01,   6.249525e-02,   1.280192e+00,   4.005745e+01,   4.999179e+00,   1.250000e-02
   2.501250e+01,   2.562559e+01,   7.811728e-02,   1.600472e+00,   4.006603e+01,   4.998916e+00,   1.562500e-02
   2.501800e+01,   2.575081e+01,   9.373845e-02,   1.920812e+00,   4.007229e+01,   4.998630e+00,   1.875000e-02
   2.502451e+01,   2.587604e+01,   1.093587e-01,   2.241195e+00,   4.007623e+01,   4.998322e+00,   2.187500e-02
   2.503201e+01,   2.600128e+01,   1.249779e-01,   2.561603e+00,   4.007785e+01,   4.997990e+00,   2.500000e-02
   2.504052e+01,   2.612652e+01,   1.405961e-01,   2.882021e+00,   4.007716e+01,   4.997636e+00,   2.812500e-02
   2.505002e+01,   2.625176e+01,   1.562131e-01,   3.202432e+00,   4.007416e+01,   4.997258e+00,   3.125000e-02
   2.506053e+01,   2.637699e+01,   1.718289e-01,   3.522819e+00,   4.006883e+01,   4.996858e+00,   3.437500e-02
   2.507204e+01,   2.650219e+01,   1.874435e-01,   3.843165e+00,   4.006119e+01,   4.996434e+00,   3.750000e-02
   2.508455e+01,   2.662737e+01,   2.030566e-01,   4.163454e+00,   4.005123e+01,   4.995988e+00,   4.062500e-02
   2.509806e+01,   2.675251e+01,   2.186684e-01,   4.483669e+00,   4.003896e+01,   4.995518e+00,   4.375000e-02
   2.511257e+01,   2.687761e+01,   2.342786e-01,   4.803794e+00,   4.002437e+01,   4.995026e+00,   4.687500e-02
   2.512809e+01,   2.700266e+01,   2.498873e-01,   5.123811e+00,   4.000747e+01,   4.994511e+00,   5.000000e-02
   2.514460e+01,   2.712765e+01,   2.654943e-01,   5.443705e+00,   3.998825e+01,   4.993973e+00,   5.312500e-02
   2.516211e+01,   2.725258e+01,   2.810996e-01,   5.763458e+00,   3.996672e+01,   4.993411e+00,   5.625000e-02
   2.518062e+01,   2.737744e+01,   2.967031e-01,   6.083053e+00,   3.994288e+01,   4.992827e+00,   5.937500e-02
   2.520013e+01,   2.750222e+01,   3.123047e-01,   6.402475e+00,   3.991673e+01,   4.992220e+00,   6.250000e-02
   2.522063e+01,   2.762692e+01,   3.279044e-01,   6.721706e+00,   3.988827e+01,   4.991590e+00,   6.562500e-02
   2.524214e+01,   2.775152e+01,   3.435021e-01,   7.040731e+00,   3.985750e+01,   4.990937e+00,   6.875000e-02
   2.526464e+01,   2.787602e+01,   3.590978e-01,   7.359531e+00,   3.982443e+01,   4.990262e+00,   7.187500e-02
