n, <eps> [J], <|m|>
   2.500000e-03,  -2.100000e-01,   2.100000e-01
   5.000000e-03,  -2.066667e-01,   2.066667e-01
   7.500000e-03,  -2.050000e-01,   2.050000e-01
   1.000000e-02,  -2.000000e-01,   2.000000e-01
   1.250000e-02,  -1.966667e-01,   1.966667e-01
   1.500000e-02,  -1.914286e-01,   1.914286e-01
   1.750000e-02,  -1.875000e-01,   1.875000e-01
   2.000000e-02,  -1.822222e-01,   1.822222e-01
   2.250000e-02,  -1.800000e-01,   1.800000e-01
   2.500000e-02,  -1.781818e-01,   1.781818e-01
   2.750000e-02,  -1.766667e-01,   1.766667e-01
   3.000000e-02,  -1.753846e-01,   1.753846e-01
   3.250000e-02,  -1.728571e-01,   1.728571e-01
   3.500000e-02,  -1.706667e-01,   1.706667e-01
   3.750000e-02,  -1.700000e-01,   1.700000e-01
   4.000000e-02,  -1.694118e-01,   1.694118e-01
   4.250000e-02,  -1.688889e-01,   1.688889e-01
   4.500000e-02,  -1.684211e-01,   1.684211e-01
   4.750000e-02,  -1.690000e-01,   1.690000e-01
   5.000000e-02,  -1.704762e-01,   1.704762e-01
   5.250000e-02,  -1.718182e-01,   1.718182e-01
   5.500000e-02,  -1.739130e-01,   1.739130e-01
   5.750000e-02,  -1.750000e-01,   1.750000e-01
   6.000000e-02,  -1.752000e-01,   1.752000e-01
   6.250000e-02,  -1.753846e-01,   1.753846e-01
   6.500000e-02,  -1.755556e-01,   1.755556e-01
   6.750000e-02,  -1.757143e-01,   1.757143e-01
   7.000000e-02,  -1.751724e-01,   1.751724e-01
   7.250000e-02,  -1.746667e-01,   1.746667e-01
   7.500000e-02,  -1.748387e-01,   1.748387e-01
   7.750000e-02,  -1.750000e-01,   1.750000e-01
   8.000000e-02,  -1.757576e-01,   1.757576e-01
   8.250000e-02,  -1.764706e-01,   1.764706e-01
   8.500000e-02,  -1.765714e-01,   1.765714e-01
   8.750000e-02,  -1.766667e-01,   1.766667e-01
   9.000000e-02,  -1.762162e-01,   1.762162e-01
   9.250000e-02,  -1.757895e-01,   1.757895e-01
   9.500000e-02,  -1.748718e-01,   1.748718e-01
   9.750000e-02,  -1.740000e-01,   1.740000e-01
   1.000000e-01,  -1.731707e-01,   1.731707e-01
   1.025000e-01,  -1.728571e-01,   1.728571e-01
   1.050000e-01,  -1.730233e-01,   1.730233e-01
   1.075000e-01,  -1.727273e-01,   1.727273e-01
   1.100000e-01,  -1.720000e-01,   1.720000e-01
   1.125000e-01,  -1.713043e-01,   1.713043e-01
   1.150000e-01,  -1.702128e-01,   1.702128e-01
   1.175000e-01,  -1.695833e-01,   1.695833e-01
   1.200000e-01,  -1.689796e-01,   1.689796e-01
   1.225000e-01,  -1.680000e-01,   1.680000e-01
   1.250000e-01,  -1.666667e-01,   1.666667e-01
   1.275000e-01,  -1.657692e-01,   1.657692e-01
   1.300000e-01,  -1.652830e-01,   1.652830e-01
   1.325000e-01,  -1.648148e-01,   1.648148e-01
   1.350000e-01,  -1.643636e-01,   1.643636e-01
   1.375000e-01,  -1.635714e-01,   1.635714e-01
   1.400000e-01,  -1.628070e-01,   1.628070e-01
   1.425000e-01,  -1.620690e-01,   1.620690e-01
   1.450000e-01,  -1.610169e-01,   1.610169e-01
   1.475000e-01,  -1.603333e-01,   1.603333e-01
   1.500000e-01,  -1.596721e-01,   1.596721e-01
   1.525000e-01,  -1.587097e-01,   1.587097e-01
   1.550000e-01,  -1.580952e-01,   1.580952e-01
   1.575000e-01,  -1.571875e-01,   1.571875e-01
   1.600000e-01,  -1.566154e-01,   1.566154e-01
   1.625000e-01,  -1.560606e-01,   1.560606e-01
   1.650000e-01,  -1.555224e-01,   1.555224e-01
   1.675000e-01,  -1.547059e-01,   1.547059e-01
   1.700000e-01,  -1.539130e-01,   1.539130e-01
   1.725000e-01,  -1.531429e-01,   1.531429e-01
   1.750000e-01,  -1.521127e-01,   1.521127e-01
   1.775000e-01,  -1.508333e-01,   1.508333e-01
   1.800000e-01,  -1.493151e-01,   1.493151e-01
   1.825000e-01,  -1.475676e-01,   1.475676e-01
   1.850000e-01,  -1.461333e-01,   1.461333e-01
   1.875000e-01,  -1.447368e-01,   1.447368e-01
   1.900000e-01,  -1.431169e-01,   1.431169e-01
   1.925000e-01,  -1.412821e-01,   1.412821e-01
   1.950000e-01,  -1.397468e-01,   1.397468e-01
   1.975000e-01,  -1.382500e-01,   1.382500e-01
   2.000000e-01,  -1.367901e-01,   1.367901e-01
   2.025000e-01,  -1.356098e-01,   1.356098e-01
   2.050000e-01,  -1.344578e-01,   1.344578e-01
   2.075000e-01,  -1.335714e-01,   1.335714e-01
   2.100000e-01,  -1.327059e-01,   1.327059e-01
   2.125000e-01,  -1.316279e-01,   1.316279e-01
   2.150000e-01,  -1.303448e-01,   1.303448e-01
   2.175000e-01,  -1.293182e-01,   1.293182e-01
   2.200000e-01,  -1.280899e-01,   1.280899e-01
   2.225000e-01,  -1.268889e-01,   1.268889e-01
   2.250000e-01,  -1.259341e-01,   1.259341e-01
   2.275000e-01,  -1.250000e-01,   1.250000e-01
   2.300000e-01,  -1.243011e-01,   1.243011e-01
   2.325000e-01,  -1.236170e-01,   1.236170e-01
   2.350000e-01,  -1.229474e-01,   1.229474e-01
   2.375000e-01,  -1.220833e-01,   1.220833e-01
   2.400000e-01,  -1.214433e-01,   1.214433e-01
   2.425000e-01,  -1.210204e-01,   1.210204e-01
   2.450000e-01,  -1.206061e-01,   1.206061e-01
   2.475000e-01,  -1.204000e-01,   1.204000e-01
   2.500000e-01,  -1.200000e-01,   1.200000e-01
   2.525000e-01,  -1.196078e-01,   1.196078e-01
   2.550000e-01,  -1.192233e-01,   1.192233e-01
   2.575000e-01,  -1.188462e-01,   1.188462e-01
   2.600000e-01,  -1.184762e-01,   1.184762e-01
   2.625000e-01,  -1.181132e-01,   1.181132e-01
   2.650000e-01,  -1.175701e-01,   1.175701e-01
   2.675000e-01,  -1.170370e-01,   1.170370e-01
   2.700000e-01,  -1.166972e-01,   1.166972e-01
   2.725000e-01,  -1.161818e-01,   1.161818e-01
   2.750000e-01,  -1.154955e-01,   1.154955e-01
   2.775000e-01,  -1.146429e-01,   1.146429e-01
   2.800000e-01,  -1.138053e-01,   1.138053e-01
   2.825000e-01,  -1.128070e-01,   1.128070e-01
   2.850000e-01,  -1.116522e-01,   1.120000e-01
   2.875000e-01,  -1.103448e-01,   1.113793e-01
   2.900000e-01,  -1.090598e-01,   1.107692e-01
   2.925000e-01,  -1.079661e-01,   1.100000e-01
   2.950000e-01,  -1.068908e-01,   1.092437e-01
   2.975000e-01,  -1.058333e-01,   1.085000e-01
   3.000000e-01,  -1.049587e-01,   1.076033e-01
   3.025000e-01,  -1.040984e-01,   1.067213e-01
   3.050000e-01,  -1.032520e-01,   1.058537e-01
   3.075000e-01,  -1.024194e-01,   1.050000e-01
   3.100000e-01,  -1.017600e-01,   1.043200e-01
   3.125000e-01,  -1.009524e-01,   1.034921e-01
   3.150000e-01,  -1.001575e-01,   1.026772e-01
   3.175000e-01,  -9.921875e-02,   1.020312e-01
   3.200000e-01,  -9.844961e-02,   1.012403e-01
   3.225000e-01,  -9.769231e-02,   1.004615e-01
   3.250000e-01,  -9.679389e-02,   9.984733e-02
   3.275000e-01,  -9.575758e-02,   9.939394e-02
   3.300000e-01,  -9.473684e-02,   9.894737e-02
   3.325000e-01,  -9.373134e-02,   9.850746e-02
   3.350000e-01,  -9.274074e-02,   9.807407e-02
   3.375000e-01,  -9.191176e-02,   9.750000e-02
   3.400000e-01,  -9.124088e-02,   9.678832e-02
   3.425000e-01,  -9.043478e-02,   9.623188e-02
   3.450000e-01,  -8.978417e-02,   9.553957e-02
   3.475000e-01,  -8.928571e-02,   9.500000e-02
   3.500000e-01,  -8.879433e-02,   9.446809e-02
   3.525000e-01,  -8.830986e-02,   9.394366e-02
   3.550000e-01,  -8.783217e-02,   9.342657e-02
   3.575000e-01,  -8.736111e-02,   9.291667e-02
   3.600000e-01,  -8.703448e-02,   9.255172e-02
   3.625000e-01,  -8.671233e-02,   9.219178e-02
   3.650000e-01,  -8.639456e-02,   9.183673e-02
   3.675000e-01,  -8.608108e-02,   9.148649e-02
   3.700000e-01,  -8.563758e-02,   9.100671e-02
   3.725000e-01,  -8.520000e-02,   9.053333e-02
   3.750000e-01,  -8.476821e-02,   9.006623e-02
   3.775000e-01,  -8.421053e-02,   8.947368e-02
   3.800000e-01,  -8.366013e-02,   8.888889e-02
   3.825000e-01,  -8.311688e-02,   8.831169e-02
   3.850000e-01,  -8.245161e-02,   8.787097e-02
   3.875000e-01,  -8.166667e-02,   8.756410e-02
   3.900000e-01,  -8.089172e-02,   8.726115e-02
   3.925000e-01,  -8.012658e-02,   8.696203e-02
   3.950000e-01,  -7.937107e-02,   8.666667e-02
   3.975000e-01,  -7.875000e-02,   8.625000e-02
   4.000000e-01,  -7.813665e-02,   8.583851e-02
   4.025000e-01,  -7.740741e-02,   8.555556e-02
   4.050000e-01,  -7.656442e-02,   8.539877e-02
   4.075000e-01,  -7.573171e-02,   8.524390e-02
   4.100000e-01,  -7.503030e-02,   8.496970e-02
   4.125000e-01,  -7.421687e-02,   8.481928e-02
   4.150000e-01,  -7.353293e-02,   8.455090e-02
   4.175000e-01,  -7.285714e-02,   8.428571e-02
   4.200000e-01,  -7.207101e-02,   8.414201e-02
   4.225000e-01,  -7.117647e-02,   8.411765e-02
   4.250000e-01,  -7.029240e-02,   8.409357e-02
   4.275000e-01,  -6.930233e-02,   8.418605e-02
   4.300000e-01,  -6.820809e-02,   8.439306e-02
   4.325000e-01,  -6.712644e-02,   8.459770e-02
   4.350000e-01,  -6.617143e-02,   8.468571e-02
   4.375000e-01,  -6.522727e-02,   8.477273e-02
   4.400000e-01,  -6.429379e-02,   8.485876e-02
   4.425000e-01,  -6.348315e-02,   8.483146e-02
   4.450000e-01,  -6.279330e-02,   8.469274e-02
   4.475000e-01,  -6.211111e-02,   8.455556e-02
   4.500000e-01,  -6.143646e-02,   8.441989e-02
   4.525000e-01,  -6.065934e-02,   8.439560e-02
   4.550000e-01,  -5.978142e-02,   8.448087e-02
   4.575000e-01,  -5.902174e-02,   8.445652e-02
   4.600000e-01,  -5.827027e-02,   8.443243e-02
   4.625000e-01,  -5.763441e-02,   8.430108e-02
   4.650000e-01,  -5.700535e-02,   8.417112e-02
   4.675000e-01,  -5.648936e-02,   8.393617e-02
   4.700000e-01,  -5.597884e-02,   8.370370e-02
   4.725000e-01,  -5.557895e-02,   8.336842e-02
   4.750000e-01,  -5.507853e-02,   8.314136e-02
   4.775000e-01,  -5.468750e-02,   8.281250e-02
   4.800000e-01,  -5.419689e-02,   8.259067e-02
   4.825000e-01,  -5.381443e-02,   8.226804e-02
   4.850000e-01,  -5.333333e-02,   8.205128e-02
   4.875000e-01,  -5.285714e-02,   8.183673e-02
   4.900000e-01,  -5.238579e-02,   8.162437e-02
   4.925000e-01,  -5.181818e-02,   8.151515e-02
   4.950000e-01,  -5.135678e-02,   8.130653e-02
   4.975000e-01,  -5.100000e-02,   8.100000e-02
   5.000000e-01,  -5.064677e-02,   8.069652e-02
   5.025000e-01,  -5.029703e-02,   8.039604e-02
   5.050000e-01,  -4.985222e-02,   8.019704e-02
   5.075000e-01,  -4.931373e-02,   8.009804e-02
   5.100000e-01,  -4.878049e-02,   8.000000e-02
   5.125000e-01,  -4.834951e-02,   7.980583e-02
   5.150000e-01,  -4.792271e-02,   7.961353e-02
   5.175000e-01,  -4.750000e-02,   7.942308e-02
   5.200000e-01,  -4.708134e-02,   7.923445e-02
   5.225000e-01,  -4.666667e-02,   7.904762e-02
   5.250000e-01,  -4.635071e-02,   7.876777e-02
   5.275000e-01,  -4.613208e-02,   7.839623e-02
   5.300000e-01,  -4.600939e-02,   7.812207e-02
   5.325000e-01,  -4.579439e-02,   7.775701e-02
   5.350000e-01,  -4.558140e-02,   7.739535e-02
   5.375000e-01,  -4.537037e-02,   7.703704e-02
   5.400000e-01,  -4.525346e-02,   7.677419e-02
