beam coordinate x_hat, 1st J eigvector, 2nd Jeidvector, 3rd Jeigvector, 1st J eigvector, 2nd Jeidvector, 3rd Jeigvector
0, 0, 0, 0, 0, 0, 0
0.1,0.138197,0.262866,-0.361803,-0.138197,0.262866,-0.361803
0.2,0.262866,0.425325,-0.425325,-0.262866,0.425325,-0.425325
0.3,0.361803,0.425325,-0.138197,-0.361803,0.425325,-0.138197
0.4,0.425325,0.262866,0.262866,-0.425325,0.262866,0.262866
0.5,0.447214,3.71114e-09,0.447214,-0.447214,-4.76727e-16,0.447214
0.6,0.425325,-0.262866,0.262866,-0.425325,-0.262866,0.262866
0.7,0.361803,-0.425325,-0.138197,-0.361803,-0.425325,-0.138197
0.8,0.262866,-0.425325,-0.425325,-0.262866,-0.425325,-0.425325
0.9,0.138197,-0.262866,-0.361803,-0.138197,-0.262866,-0.361803
1, 0, 0, 0, 0, 0, 0
