x[μm], y[μm], z[μm], t[μm]
   2.000000e+01,   0.000000e+00,   2.000000e+01,   0.000000e+00
   2.000000e+01,   7.812500e-02,   2.000000e+01,   3.125000e-03
   2.000063e+01,   1.562500e-01,   1.999991e+01,   6.250000e-03
   2.000190e+01,   2.343704e-01,   1.999972e+01,   9.375000e-03
   2.000381e+01,   3.124816e-01,   1.999944e+01,   1.250000e-02
   2.000635e+01,   3.905791e-01,   1.999906e+01,   1.562500e-02
   2.000952e+01,   4.686581e-01,   1.999859e+01,   1.875000e-02
   2.001333e+01,   5.467142e-01,   1.999803e+01,   2.187500e-02
   2.001777e+01,   6.247428e-01,   1.999737e+01,   2.500000e-02
   2.002285e+01,   7.027392e-01,   1.999662e+01,   2.812500e-02
   2.002856e+01,   7.806989e-01,   1.999577e+01,   3.125000e-02
   2.003490e+01,   8.586172e-01,   1.999483e+01,   3.437500e-02
   2.004188e+01,   9.364897e-01,   1.999380e+01,   3.750000e-02
   2.004949e+01,   1.014312e+00,   1.999267e+01,   4.062500e-02
   2.005774e+01,   1.092079e+00,   1.999145e+01,   4.375000e-02
   2.006661e+01,   1.169786e+00,   1.999014e+01,   4.687500e-02
   2.007612e+01,   1.247429e+00,   1.998873e+01,   5.000000e-02
   2.008626e+01,   1.325003e+00,   1.998722e+01,   5.312500e-02
   2.009703e+01,   1.402504e+00,   1.998563e+01,   5.625000e-02
   2.010843e+01,   1.479927e+00,   1.998393e+01,   5.937500e-02
   2.012046e+01,   1.557268e+00,   1.998215e+01,   6.250000e-02
   2.013311e+01,   1.634521e+00,   1.998027e+01,   6.562500e-02
   2.014640e+01,   1.711683e+00,   1.997830e+01,   6.875000e-02
   2.016032e+01,   1.788749e+00,   1.997623e+01,   7.187500e-02
   2.017486e+01,   1.865714e+00,   1.997407e+01,   7.500000e-02
   2.019003e+01,   1.942573e+00,   1.997182e+01,   7.812500e-02
   2.020582e+01,   2.019323e+00,   1.996947e+01,   8.125000e-02
   2.022224e+01,   2.095959e+00,   1.996703e+01,   8.437500e-02
   2.023929e+01,   2.172476e+00,   1.996449e+01,   8.750000e-02
   2.025695e+01,   2.248870e+00,   1.996186e+01,   9.062500e-02
   2.027524e+01,   2.325136e+00,   1.995914e+01,   9.375000e-02
   2.029415e+01,   2.401269e+00,   1.995632e+01,   9.687500e-02
   2.031368e+01,   2.477266e+00,   1.995341e+01,   1.000000e-01
   2.033383e+01,   2.553121e+00,   1.995041e+01,   1.031250e-01
   2.035460e+01,   2.628831e+00,   1.994731e+01,   1.062500e-01
   2.037599e+01,   2.704390e+00,   1.994412e+01,   1.093750e-01
   2.039799e+01,   2.779795e+00,   1.994083e+01,   1.125000e-01
