x[μm], y[μm], z[μm], t[μm]
   2.000000e+01,   0.000000e+00,   2.000000e+01,   0.000000e+00
   2.000000e+01,   0.000000e+00,   2.000000e+01,   0.000000e+00
   2.000008e+01,   3.906240e-02,   1.999999e+01,   1.562500e-03
   2.000032e+01,   7.812423e-02,   1.999995e+01,   3.125000e-03
   2.000071e+01,   1.171849e-01,   1.999989e+01,   4.687500e-03
   2.000127e+01,   1.562439e-01,   1.999981e+01,   6.250000e-03
   2.000198e+01,   1.953005e-01,   1.999971e+01,   7.812500e-03
   2.000286e+01,   2.343543e-01,   1.999958e+01,   9.375000e-03
   2.000389e+01,   2.734047e-01,   1.999942e+01,   1.093750e-02
   2.000508e+01,   3.124510e-01,   1.999925e+01,   1.250000e-02
   2.000643e+01,   3.514927e-01,   1.999905e+01,   1.406250e-02
   2.000793e+01,   3.905293e-01,   1.999883e+01,   1.562500e-02
   2.000960e+01,   4.295601e-01,   1.999858e+01,   1.718750e-02
   2.001143e+01,   4.685847e-01,   1.999831e+01,   1.875000e-02
   2.001341e+01,   5.076023e-01,   1.999802e+01,   2.031250e-02
   2.001555e+01,   5.466125e-01,   1.999770e+01,   2.187500e-02
   2.001785e+01,   5.856146e-01,   1.999736e+01,   2.343750e-02
   2.002031e+01,   6.246081e-01,   1.999699e+01,   2.500000e-02
   2.002293e+01,   6.635925e-01,   1.999661e+01,   2.656250e-02
   2.002570e+01,   7.025671e-01,   1.999619e+01,   2.812500e-02
   2.002864e+01,   7.415313e-01,   1.999576e+01,   2.968750e-02
   2.003173e+01,   7.804847e-01,   1.999530e+01,   3.125000e-02
   2.003498e+01,   8.194266e-01,   1.999482e+01,   3.281250e-02
   2.003839e+01,   8.583564e-01,   1.999432e+01,   3.437500e-02
   2.004195e+01,   8.972736e-01,   1.999379e+01,   3.593750e-02
   2.004568e+01,   9.361777e-01,   1.999324e+01,   3.750000e-02
   2.004956e+01,   9.750679e-01,   1.999266e+01,   3.906250e-02
   2.005360e+01,   1.013944e+00,   1.999206e+01,   4.062500e-02
   2.005780e+01,   1.052805e+00,   1.999144e+01,   4.218750e-02
   2.006216e+01,   1.091650e+00,   1.999079e+01,   4.375000e-02
   2.006667e+01,   1.130480e+00,   1.999012e+01,   4.531250e-02
   2.007135e+01,   1.169293e+00,   1.998943e+01,   4.687500e-02
   2.007618e+01,   1.208089e+00,   1.998871e+01,   4.843750e-02
   2.008117e+01,   1.246866e+00,   1.998797e+01,   5.000000e-02
   2.008631e+01,   1.285626e+00,   1.998721e+01,   5.156250e-02
   2.009162e+01,   1.324367e+00,   1.998642e+01,   5.312500e-02
