x[μm], y[μm], z[μm], v_x[μm/μs], v_y[μm/μs], v_y[μm/μs], t[μm]
   2.500000e+01,   2.500000e+01,   0.000000e+00,   0.000000e+00,   4.000000e+01,   5.000000e+00,   0.000000e+00
   2.500000e+01,   2.512500e+01,   1.562500e-02,   3.197671e-01,   4.001879e+01,   5.000000e+00,   3.125000e-03
   2.500100e+01,   2.525006e+01,   3.125000e-02,   6.396756e-01,   4.003527e+01,   4.999977e+00,   6.250000e-03
   2.500300e+01,   2.537517e+01,   4.687493e-02,   9.597088e-01,   4.004944e+01,   4.999930e+00,   9.375000e-03
   2.500600e+01,   2.550032e+01,   6.249971e-02,   1.279850e+00,   4.006129e+01,   4.999859e+00,   1.250000e-02
   2.501000e+01,   2.562551e+01,   7.812427e-02,   1.600083e+00,   4.007083e+01,   4.999765e+00,   1.562500e-02
   2.501500e+01,   2.575074e+01,   9.374853e-02,   1.920390e+00,   4.007805e+01,   4.999648e+00,   1.875000e-02
   2.502100e+01,   2.587598e+01,   1.093724e-01,   2.240756e+00,   4.008295e+01,   4.999507e+00,   2.187500e-02
   2.502800e+01,   2.600124e+01,   1.249959e-01,   2.561163e+00,   4.008554e+01,   4.999342e+00,   2.500000e-02
   2.503600e+01,   2.612651e+01,   1.406188e-01,   2.881595e+00,   4.008582e+01,   4.999154e+00,   2.812500e-02
   2.504501e+01,   2.625177e+01,   1.562412e-01,   3.202035e+00,   4.008377e+01,   4.998943e+00,   3.125000e-02
   2.505502e+01,   2.637704e+01,   1.718629e-01,   3.522466e+00,   4.007941e+01,   4.998708e+00,   3.437500e-02
   2.506602e+01,   2.650228e+01,   1.874839e-01,   3.842872e+00,   4.007273e+01,   4.998450e+00,   3.750000e-02
   2.507803e+01,   2.662751e+01,   2.031040e-01,   4.163236e+00,   4.006374e+01,   4.998168e+00,   4.062500e-02
   2.509104e+01,   2.675271e+01,   2.187233e-01,   4.483541e+00,   4.005243e+01,   4.997863e+00,   4.375000e-02
   2.510505e+01,   2.687788e+01,   2.343416e-01,   4.803771e+00,   4.003880e+01,   4.997534e+00,   4.687500e-02
   2.512007e+01,   2.700300e+01,   2.499589e-01,   5.123909e+00,   4.002286e+01,   4.997181e+00,   5.000000e-02
   2.513608e+01,   2.712807e+01,   2.655751e-01,   5.443939e+00,   4.000460e+01,   4.996806e+00,   5.312500e-02
   2.515309e+01,   2.725308e+01,   2.811901e-01,   5.763843e+00,   3.998403e+01,   4.996406e+00,   5.625000e-02
   2.517110e+01,   2.737803e+01,   2.968039e-01,   6.083605e+00,   3.996115e+01,   4.995984e+00,   5.937500e-02
   2.519011e+01,   2.750291e+01,   3.124163e-01,   6.403208e+00,   3.993595e+01,   4.995538e+00,   6.250000e-02
   2.521012e+01,   2.762771e+01,   3.280274e-01,   6.722636e+00,   3.990844e+01,   4.995068e+00,   6.562500e-02
   2.523113e+01,   2.775242e+01,   3.436370e-01,   7.041872e+00,   3.987863e+01,   4.994575e+00,   6.875000e-02
   2.525314e+01,   2.787705e+01,   3.592450e-01,   7.360900e+00,   3.984650e+01,   4.994058e+00,   7.187500e-02
   2.527614e+01,   2.800157e+01,   3.748514e-01,   7.679702e+00,   3.981207e+01,   4.993518e+00,   7.500000e-02
   2.530014e+01,   2.812598e+01,   3.904562e-01,   7.998263e+00,   3.977533e+01,   4.992955e+00,   7.812500e-02
   2.532513e+01,   2.825028e+01,   4.060592e-01,   8.316565e+00,   3.973629e+01,   4.992368e+00,   8.125000e-02
   2.535112e+01,   2.837445e+01,   4.216603e-01,   8.634592e+00,   3.969495e+01,   4.991757e+00,   8.437500e-02
   2.537811e+01,   2.849850e+01,   4.372596e-01,   8.952328e+00,   3.965131e+01,   4.991123e+00,   8.750000e-02
   2.540608e+01,   2.862241e+01,   4.528568e-01,   9.269755e+00,   3.960537e+01,   4.990466e+00,   9.062500e-02
   2.543505e+01,   2.874618e+01,   4.684520e-01,   9.586858e+00,   3.955713e+01,   4.989785e+00,   9.375000e-02
   2.546501e+01,   2.886979e+01,   4.840451e-01,   9.903620e+00,   3.950660e+01,   4.989081e+00,   9.687500e-02
   2.549596e+01,   2.899325e+01,   4.996360e-01,   1.022002e+01,   3.945378e+01,   4.988353e+00,   1.000000e-01
   2.552790e+01,   2.911654e+01,   5.152246e-01,   1.053605e+01,   3.939868e+01,   4.987602e+00,   1.031250e-01
   2.556082e+01,   2.923966e+01,   5.308108e-01,   1.085169e+01,   3.934129e+01,   4.986828e+00,   1.062500e-01
   2.559473e+01,   2.936261e+01,   5.463947e-01,   1.116693e+01,   3.928161e+01,   4.986030e+00,   1.093750e-01
   2.562963e+01,   2.948536e+01,   5.619760e-01,   1.148173e+01,   3.921966e+01,   4.985208e+00,   1.125000e-01
   2.566551e+01,   2.960792e+01,   5.775548e-01,   1.179610e+01,   3.915543e+01,   4.984363e+00,   1.156250e-01
   2.570237e+01,   2.973028e+01,   5.931309e-01,   1.211002e+01,   3.908892e+01,   4.983495e+00,   1.187500e-01
   2.574022e+01,   2.985244e+01,   6.087044e-01,   1.242345e+01,   3.902015e+01,   4.982603e+00,   1.218750e-01
   2.577904e+01,   2.997437e+01,   6.242750e-01,   1.273641e+01,   3.894911e+01,   4.981688e+00,   1.250000e-01
   2.581884e+01,   3.009609e+01,   6.398428e-01,   1.304885e+01,   3.887581e+01,   4.980750e+00,   1.281250e-01
   2.585962e+01,   3.021758e+01,   6.554076e-01,   1.336077e+01,   3.880025e+01,   4.979788e+00,   1.312500e-01
   2.590137e+01,   3.033883e+01,   6.709695e-01,   1.367216e+01,   3.872243e+01,   4.978803e+00,   1.343750e-01
   2.594410e+01,   3.045983e+01,   6.865282e-01,   1.398299e+01,   3.864236e+01,   4.977794e+00,   1.375000e-01
   2.598779e+01,   3.058059e+01,   7.020838e-01,   1.429325e+01,   3.856004e+01,   4.976762e+00,   1.406250e-01
   2.603246e+01,   3.070109e+01,   7.176362e-01,   1.460293e+01,   3.847548e+01,   4.975707e+00,   1.437500e-01
   2.607809e+01,   3.082133e+01,   7.331853e-01,   1.491200e+01,   3.838868e+01,   4.974628e+00,   1.468750e-01
   2.612469e+01,   3.094129e+01,   7.487310e-01,   1.522045e+01,   3.829964e+01,   4.973525e+00,   1.500000e-01
   2.617226e+01,   3.106098e+01,   7.642733e-01,   1.552827e+01,   3.820837e+01,   4.972400e+00,   1.531250e-01
   2.622078e+01,   3.118038e+01,   7.798120e-01,   1.583544e+01,   3.811488e+01,   4.971251e+00,   1.562500e-01
   2.627027e+01,   3.129949e+01,   7.953472e-01,   1.614194e+01,   3.801916e+01,   4.970079e+00,   1.593750e-01
   2.632071e+01,   3.141830e+01,   8.108787e-01,   1.644776e+01,   3.792123e+01,   4.968883e+00,   1.625000e-01
   2.637211e+01,   3.153680e+01,   8.264064e-01,   1.675287e+01,   3.782109e+01,   4.967664e+00,   1.656250e-01
   2.642446e+01,   3.165499e+01,   8.419304e-01,   1.705728e+01,   3.771874e+01,   4.966422e+00,   1.687500e-01
   2.647777e+01,   3.177287e+01,   8.574504e-01,   1.736095e+01,   3.761419e+01,   4.965156e+00,   1.718750e-01
   2.653202e+01,   3.189041e+01,   8.729666e-01,   1.766388e+01,   3.750744e+01,   4.963867e+00,   1.750000e-01
   2.658722e+01,   3.200762e+01,   8.884786e-01,   1.796604e+01,   3.739850e+01,   4.962555e+00,   1.781250e-01
   2.664336e+01,   3.212449e+01,   9.039866e-01,   1.826743e+01,   3.728737e+01,   4.961219e+00,   1.812500e-01
   2.670045e+01,   3.224101e+01,   9.194904e-01,   1.856802e+01,   3.717407e+01,   4.959860e+00,   1.843750e-01
   2.675848e+01,   3.235718e+01,   9.349900e-01,   1.886780e+01,   3.705859e+01,   4.958478e+00,   1.875000e-01
   2.681744e+01,   3.247299e+01,   9.504852e-01,   1.916676e+01,   3.694094e+01,   4.957072e+00,   1.906250e-01
   2.687733e+01,   3.258843e+01,   9.659761e-01,   1.946487e+01,   3.682113e+01,   4.955643e+00,   1.937500e-01
   2.693816e+01,   3.270350e+01,   9.814625e-01,   1.976213e+01,   3.669917e+01,   4.954191e+00,   1.968750e-01
   2.699992e+01,   3.281818e+01,   9.969443e-01,   2.005852e+01,   3.657505e+01,   4.952716e+00,   2.000000e-01
   2.706260e+01,   3.293248e+01,   1.012422e+00,   2.035402e+01,   3.644879e+01,   4.951217e+00,   2.031250e-01
   2.712621e+01,   3.304638e+01,   1.027894e+00,   2.064861e+01,   3.632039e+01,   4.949695e+00,   2.062500e-01
   2.719073e+01,   3.315988e+01,   1.043362e+00,   2.094229e+01,   3.618987e+01,   4.948150e+00,   2.093750e-01
   2.725618e+01,   3.327298e+01,   1.058825e+00,   2.123504e+01,   3.605721e+01,   4.946581e+00,   2.125000e-01
   2.732254e+01,   3.338565e+01,   1.074283e+00,   2.152683e+01,   3.592244e+01,   4.944989e+00,   2.156250e-01
   2.738981e+01,   3.349791e+01,   1.089736e+00,   2.181767e+01,   3.578556e+01,   4.943374e+00,   2.187500e-01
