x1[μm], y1[μm], z1[μm], v_x1[μm/μs], v_y1[μm/μs], v_y1[μm/μs],x2[μm], y2[μm], z2[μm], v_x2[μm/μs], v_y2[μm/μs], v_y2[μm/μs], t[μs]
   2.000000e+01,   0.000000e+00,   2.000000e+01,   0.000000e+00,   2.500000e+01,   0.000000e+00,   2.500000e+01,   2.500000e+01,   0.000000e+00,   0.000000e+00,   4.000000e+01,   5.000000e+00,   0.000000e+00
   2.000032e+01,   7.812423e-02,   1.999995e+01,   2.031412e-01,   2.499927e+01,  -3.006635e-02,   2.500050e+01,   2.512503e+01,   1.562499e-02,   3.198350e-01,   4.001764e+01,   4.999988e+00,   3.125000e-03
   2.000127e+01,   1.562439e-01,   1.999981e+01,   4.062718e-01,   2.499706e+01,  -6.013255e-02,   2.500200e+01,   2.525011e+01,   3.124990e-02,   6.397947e-01,   4.003296e+01,   4.999953e+00,   6.250000e-03
   2.000286e+01,   2.343543e-01,   1.999958e+01,   6.093812e-01,   2.499339e+01,  -9.019848e-02,   2.500450e+01,   2.537523e+01,   4.687467e-02,   9.598626e-01,   4.004597e+01,   4.999894e+00,   9.375000e-03
   2.000508e+01,   3.124510e-01,   1.999925e+01,   8.124589e-01,   2.498824e+01,  -1.202640e-01,   2.500800e+01,   2.550039e+01,   6.249922e-02,   1.280022e+00,   4.005666e+01,   4.999812e+00,   1.250000e-02
   2.000793e+01,   3.905293e-01,   1.999883e+01,   1.015494e+00,   2.498163e+01,  -1.503289e-01,   2.501250e+01,   2.562558e+01,   7.812347e-02,   1.600256e+00,   4.006504e+01,   4.999706e+00,   1.562500e-02
   2.001143e+01,   4.685847e-01,   1.999831e+01,   1.218477e+00,   2.497355e+01,  -1.803931e-01,   2.501800e+01,   2.575080e+01,   9.374736e-02,   1.920548e+00,   4.007110e+01,   4.999577e+00,   1.875000e-02
   2.001555e+01,   5.466125e-01,   1.999770e+01,   1.421396e+00,   2.496400e+01,  -2.104565e-01,   2.502450e+01,   2.587603e+01,   1.093708e-01,   2.240882e+00,   4.007485e+01,   4.999425e+00,   2.187500e-02
   2.002031e+01,   6.246081e-01,   1.999699e+01,   1.624241e+00,   2.495298e+01,  -2.405189e-01,   2.503201e+01,   2.600126e+01,   1.249937e-01,   2.561240e+00,   4.007628e+01,   4.999248e+00,   2.500000e-02
   2.002570e+01,   7.025671e-01,   1.999619e+01,   1.827001e+00,   2.494049e+01,  -2.705802e-01,   2.504051e+01,   2.612650e+01,   1.406161e-01,   2.881606e+00,   4.007539e+01,   4.999049e+00,   2.812500e-02
   2.003173e+01,   7.804847e-01,   1.999530e+01,   2.029666e+00,   2.492654e+01,  -3.006402e-01,   2.505002e+01,   2.625173e+01,   1.562378e-01,   3.201964e+00,   4.007219e+01,   4.998826e+00,   3.125000e-02
   2.003839e+01,   8.583564e-01,   1.999432e+01,   2.232226e+00,   2.491112e+01,  -3.306987e-01,   2.506052e+01,   2.637695e+01,   1.718587e-01,   3.522296e+00,   4.006667e+01,   4.998579e+00,   3.437500e-02
   2.004568e+01,   9.361777e-01,   1.999324e+01,   2.434669e+00,   2.489424e+01,  -3.607558e-01,   2.507203e+01,   2.650215e+01,   1.874789e-01,   3.842587e+00,   4.005884e+01,   4.998309e+00,   3.750000e-02
   2.005360e+01,   1.013944e+00,   1.999206e+01,   2.636985e+00,   2.487589e+01,  -3.908111e-01,   2.508454e+01,   2.662731e+01,   2.030981e-01,   4.162819e+00,   4.004869e+01,   4.998015e+00,   4.062500e-02
   2.006216e+01,   1.091650e+00,   1.999079e+01,   2.839164e+00,   2.485608e+01,  -4.208646e-01,   2.509805e+01,   2.675245e+01,   2.187164e-01,   4.482975e+00,   4.003622e+01,   4.997698e+00,   4.375000e-02
   2.007135e+01,   1.169293e+00,   1.998943e+01,   3.041195e+00,   2.483481e+01,  -4.509161e-01,   2.511256e+01,   2.687754e+01,   2.343337e-01,   4.803040e+00,   4.002144e+01,   4.997358e+00,   4.687500e-02
   2.008117e+01,   1.246866e+00,   1.998797e+01,   3.243068e+00,   2.481207e+01,  -4.809655e-01,   2.512807e+01,   2.700258e+01,   2.499499e-01,   5.122996e+00,   4.000435e+01,   4.996994e+00,   5.000000e-02
   2.009162e+01,   1.324367e+00,   1.998642e+01,   3.444771e+00,   2.478788e+01,  -5.110126e-01,   2.514458e+01,   2.712756e+01,   2.655649e-01,   5.442826e+00,   3.998494e+01,   4.996606e+00,   5.312500e-02
   2.010270e+01,   1.401789e+00,   1.998478e+01,   3.646296e+00,   2.476222e+01,  -5.410574e-01,   2.516208e+01,   2.725248e+01,   2.811787e-01,   5.762515e+00,   3.996322e+01,   4.996195e+00,   5.625000e-02
   2.011441e+01,   1.479129e+00,   1.998304e+01,   3.847630e+00,   2.473511e+01,  -5.710996e-01,   2.518059e+01,   2.737733e+01,   2.967911e-01,   6.082045e+00,   3.993919e+01,   4.995761e+00,   5.937500e-02
   2.012674e+01,   1.556382e+00,   1.998121e+01,   4.048764e+00,   2.470655e+01,  -6.011391e-01,   2.520010e+01,   2.750210e+01,   3.124021e-01,   6.401400e+00,   3.991285e+01,   4.995303e+00,   6.250000e-02
   2.013971e+01,   1.633544e+00,   1.997929e+01,   4.249687e+00,   2.467653e+01,  -6.311758e-01,   2.522060e+01,   2.762678e+01,   3.280117e-01,   6.720563e+00,   3.988420e+01,   4.994821e+00,   6.562500e-02
   2.015330e+01,   1.710609e+00,   1.997727e+01,   4.450388e+00,   2.464505e+01,  -6.612095e-01,   2.524210e+01,   2.775137e+01,   3.436197e-01,   7.039518e+00,   3.985325e+01,   4.994317e+00,   6.875000e-02
   2.016753e+01,   1.787574e+00,   1.997515e+01,   4.650858e+00,   2.461212e+01,  -6.912401e-01,   2.526460e+01,   2.787586e+01,   3.592262e-01,   7.358247e+00,   3.981999e+01,   4.993788e+00,   7.187500e-02
   2.018237e+01,   1.864433e+00,   1.997295e+01,   4.851085e+00,   2.457775e+01,  -7.212675e-01,   2.528809e+01,   2.800025e+01,   3.748309e-01,   7.676735e+00,   3.978442e+01,   4.993237e+00,   7.500000e-02
   2.019784e+01,   1.941183e+00,   1.997065e+01,   5.051060e+00,   2.454192e+01,  -7.512915e-01,   2.531258e+01,   2.812451e+01,   3.904339e-01,   7.994965e+00,   3.974655e+01,   4.992661e+00,   7.812500e-02
   2.021394e+01,   2.017819e+00,   1.996825e+01,   5.250772e+00,   2.450466e+01,  -7.813119e-01,   2.533806e+01,   2.824866e+01,   4.060350e-01,   8.312919e+00,   3.970639e+01,   4.992063e+00,   8.125000e-02
   2.023066e+01,   2.094336e+00,   1.996576e+01,   5.450210e+00,   2.446594e+01,  -8.113287e-01,   2.536453e+01,   2.837268e+01,   4.216342e-01,   8.630583e+00,   3.966392e+01,   4.991441e+00,   8.437500e-02
   2.024800e+01,   2.170729e+00,   1.996318e+01,   5.649364e+00,   2.442579e+01,  -8.413417e-01,   2.539200e+01,   2.849656e+01,   4.372315e-01,   8.947939e+00,   3.961916e+01,   4.990795e+00,   8.750000e-02
   2.026597e+01,   2.246995e+00,   1.996050e+01,   5.848224e+00,   2.438419e+01,  -8.713507e-01,   2.542046e+01,   2.862029e+01,   4.528267e-01,   9.264970e+00,   3.957211e+01,   4.990126e+00,   9.062500e-02
   2.028456e+01,   2.323129e+00,   1.995773e+01,   6.046779e+00,   2.434116e+01,  -9.013556e-01,   2.544990e+01,   2.874388e+01,   4.684198e-01,   9.581660e+00,   3.952276e+01,   4.989434e+00,   9.375000e-02
   2.030376e+01,   2.399126e+00,   1.995487e+01,   6.245019e+00,   2.429669e+01,  -9.313563e-01,   2.548034e+01,   2.886731e+01,   4.840106e-01,   9.897993e+00,   3.947113e+01,   4.988718e+00,   9.687500e-02
