x1[μm], y1[μm], z1[μm], v_x1[μm/μs], v_y1[μm/μs], v_y1[μm/μs],x2[μm], y2[μm], z2[μm], v_x2[μm/μs], v_y2[μm/μs], v_y2[μm/μs], t[μs]
   2.000000e+01,   0.000000e+00,   2.000000e+01,   0.000000e+00,   2.500000e+01,   0.000000e+00,   2.500000e+01,   2.500000e+01,   0.000000e+00,   0.000000e+00,   4.000000e+01,   5.000000e+00,   0.000000e+00
   2.000032e+01,   7.812392e-02,   1.999995e+01,   2.031006e-01,   2.499907e+01,  -2.990701e-02,   2.500050e+01,   2.512503e+01,   1.562474e-02,   3.198755e-01,   4.001783e+01,   4.999829e+00,   3.125000e-03
   2.000127e+01,   1.562426e-01,   1.999981e+01,   4.061892e-01,   2.499666e+01,  -5.981440e-02,   2.500200e+01,   2.525011e+01,   3.124891e-02,   6.398772e-01,   4.003335e+01,   4.999635e+00,   6.250000e-03
   2.000286e+01,   2.343515e-01,   1.999958e+01,   6.092553e-01,   2.499279e+01,  -8.972202e-02,   2.500450e+01,   2.537523e+01,   4.687244e-02,   9.599884e-01,   4.004656e+01,   4.999419e+00,   9.375000e-03
   2.000508e+01,   3.124461e-01,   1.999925e+01,   8.122882e-01,   2.498745e+01,  -1.196297e-01,   2.500800e+01,   2.550040e+01,   6.249525e-02,   1.280192e+00,   4.005745e+01,   4.999179e+00,   1.250000e-02
   2.000793e+01,   3.905216e-01,   1.999883e+01,   1.015277e+00,   2.498064e+01,  -1.495374e-01,   2.501250e+01,   2.562559e+01,   7.811728e-02,   1.600472e+00,   4.006603e+01,   4.998916e+00,   1.562500e-02
   2.001142e+01,   4.685735e-01,   1.999832e+01,   1.218212e+00,   2.497236e+01,  -1.794449e-01,   2.501800e+01,   2.575081e+01,   9.373845e-02,   1.920812e+00,   4.007229e+01,   4.998630e+00,   1.875000e-02
   2.001555e+01,   5.465973e-01,   1.999771e+01,   1.421082e+00,   2.496262e+01,  -2.093520e-01,   2.502451e+01,   2.587604e+01,   1.093587e-01,   2.241195e+00,   4.007623e+01,   4.998322e+00,   2.187500e-02
   2.002030e+01,   6.245883e-01,   1.999701e+01,   1.623877e+00,   2.495140e+01,  -2.392587e-01,   2.503201e+01,   2.600128e+01,   1.249779e-01,   2.561603e+00,   4.007785e+01,   4.997990e+00,   2.500000e-02
   2.002570e+01,   7.025420e-01,   1.999621e+01,   1.826586e+00,   2.493872e+01,  -2.691648e-01,   2.504052e+01,   2.612652e+01,   1.405961e-01,   2.882021e+00,   4.007716e+01,   4.997636e+00,   2.812500e-02
   2.003172e+01,   7.804538e-01,   1.999533e+01,   2.029198e+00,   2.492457e+01,  -2.990701e-01,   2.505002e+01,   2.625176e+01,   1.562131e-01,   3.202432e+00,   4.007416e+01,   4.997258e+00,   3.125000e-02
   2.003838e+01,   8.583191e-01,   1.999435e+01,   2.231702e+00,   2.490896e+01,  -3.289746e-01,   2.506053e+01,   2.637699e+01,   1.718289e-01,   3.522819e+00,   4.006883e+01,   4.996858e+00,   3.437500e-02
   2.004567e+01,   9.361333e-01,   1.999327e+01,   2.434090e+00,   2.489189e+01,  -3.588780e-01,   2.507204e+01,   2.650219e+01,   1.874435e-01,   3.843165e+00,   4.006119e+01,   4.996434e+00,   3.750000e-02
   2.005359e+01,   1.013892e+00,   1.999210e+01,   2.636349e+00,   2.487335e+01,  -3.887802e-01,   2.508455e+01,   2.662737e+01,   2.030566e-01,   4.163454e+00,   4.005123e+01,   4.995988e+00,   4.062500e-02
   2.006215e+01,   1.091590e+00,   1.999084e+01,   2.838469e+00,   2.485334e+01,  -4.186812e-01,   2.509806e+01,   2.675251e+01,   2.186684e-01,   4.483669e+00,   4.003896e+01,   4.995518e+00,   4.375000e-02
   2.007133e+01,   1.169224e+00,   1.998949e+01,   3.040440e+00,   2.483188e+01,  -4.485807e-01,   2.511257e+01,   2.687761e+01,   2.342786e-01,   4.803794e+00,   4.002437e+01,   4.995026e+00,   4.687500e-02
   2.008115e+01,   1.246788e+00,   1.998804e+01,   3.242251e+00,   2.480895e+01,  -4.784786e-01,   2.512809e+01,   2.700266e+01,   2.498873e-01,   5.123811e+00,   4.000747e+01,   4.994511e+00,   5.000000e-02
   2.009160e+01,   1.324278e+00,   1.998650e+01,   3.443892e+00,   2.478457e+01,  -5.083747e-01,   2.514460e+01,   2.712765e+01,   2.654943e-01,   5.443705e+00,   3.998825e+01,   4.993973e+00,   5.312500e-02
   2.010267e+01,   1.401690e+00,   1.998486e+01,   3.645352e+00,   2.475872e+01,  -5.382690e-01,   2.516211e+01,   2.725258e+01,   2.810996e-01,   5.763458e+00,   3.996672e+01,   4.993411e+00,   5.625000e-02
   2.011438e+01,   1.479019e+00,   1.998313e+01,   3.846621e+00,   2.473142e+01,  -5.681613e-01,   2.518062e+01,   2.737744e+01,   2.967031e-01,   6.083053e+00,   3.994288e+01,   4.992827e+00,   5.937500e-02
   2.012671e+01,   1.556260e+00,   1.998131e+01,   4.047688e+00,   2.470267e+01,  -5.980514e-01,   2.520013e+01,   2.750222e+01,   3.123047e-01,   6.402475e+00,   3.991673e+01,   4.992220e+00,   6.250000e-02
   2.013968e+01,   1.633409e+00,   1.997939e+01,   4.248542e+00,   2.467246e+01,  -6.279392e-01,   2.522063e+01,   2.762692e+01,   3.279044e-01,   6.721706e+00,   3.988827e+01,   4.991590e+00,   6.562500e-02
   2.015327e+01,   1.710461e+00,   1.997738e+01,   4.449174e+00,   2.464079e+01,  -6.578246e-01,   2.524214e+01,   2.775152e+01,   3.435021e-01,   7.040731e+00,   3.985750e+01,   4.990937e+00,   6.875000e-02
   2.016748e+01,   1.787412e+00,   1.997528e+01,   4.649573e+00,   2.460768e+01,  -6.877074e-01,   2.526464e+01,   2.787602e+01,   3.590978e-01,   7.359531e+00,   3.982443e+01,   4.990262e+00,   7.187500e-02
   2.018233e+01,   1.864258e+00,   1.997309e+01,   4.849728e+00,   2.457312e+01,  -7.175875e-01,   2.528813e+01,   2.800042e+01,   3.746912e-01,   7.678091e+00,   3.978905e+01,   4.989563e+00,   7.500000e-02
